stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,stop_timezone,label,agency_id,attribute
13062,"[KMB] JOCKEY CLUB CLINIC CHEUNG SHA WAN|[NWFB] CHEUNG SHA WAN JOCKEY CLUB CLINIC, KWONG LEE ROAD",22.34072,114.15862,13062,0,Asia/Hong_Kong,FB,,0.9755177828073285
10226,"[CTB] OI TUNG SHOPPING CENTRE, OI YIN STREET|[NWFB] OI TUNG SHOPPING CENTRE, OI YIN STREET",22.28108,114.22805,10226,0,Asia/Hong_Kong,FB,,0.9560536906744432
11001,[NLB] LUNG TIN ESTATE,22.25242,113.86509,11001,0,Asia/Hong_Kong,FB,,0.45435290491109326
9156,"[KMB] BLOCK.5, TSUI CHUK GARDEN",22.34583,114.18683,9156,0,Asia/Hong_Kong,FB,,0.962030579436604
6479,[KMB] CHUNG PUI,22.48551,114.24337,6479,0,Asia/Hong_Kong,FB,,0.773166383275025
552,"[CTB] TUNG SHING COURT, YIU HING ROAD|[KMB+CTB] TUNG SHING COURT/<BR>TUNG SHING COURT, YIU HING ROAD|[KMB+NWFB] TUNG SHING COURT/<BR>TUNG SHING COURT, YIU HING ROAD|[NWFB] TUNG SHING COURT, YIU HING ROAD",22.27608,114.22655,552,0,Asia/Hong_Kong,FB,,0.8664128215577817
12394,[KMB] SHEUNG YUET ROAD,22.32167,114.20808000000001,12394,0,Asia/Hong_Kong,FB,,0.9748838221721281
10000005,"[CTB] LAI TSUI COURT, LAI CHI KOK ROAD|[KMB] LAI TSUI COURT",22.33312,114.15494,10000005,0,Asia/Hong_Kong,FB,,0.9222766855443134
310,"[CTB] TIN WAN STREET, SHEK PAI WAN ROAD|[NWFB] TIN WAN STREET, SHEK PAI WAN ROAD",22.24943,114.14844,310,0,Asia/Hong_Kong,FB,,0.8970034407559347
6560,[KMB] PAK NGAU SHEK,22.44022,114.12526000000001,6560,0,Asia/Hong_Kong,FB,,0.9464013124249193
1146,[KMB+CTB] DIAMOND HILL STATION BUS TERMINUS/<BR>DIAMOND HILL STATION|[KMB] DIAMOND HILL STATION BUS TERMINUS,22.34078,114.20155,1146,0,Asia/Hong_Kong,FB,,0.8916319778328317
4082,"[KMB] KING TAI STREET|[NWFB] KING TAI STREET, PRINCE EDWARD ROAD EAST",22.333920000000003,114.19851000000001,4082,0,Asia/Hong_Kong,FB,,0.8926607412563328
6633,[KMB] NG UK VILLAGE,22.49642,114.12781000000001,6633,0,Asia/Hong_Kong,FB,,0.9304901583449213
467,[CTB] ADMIRALTY (WEST)|[NWFB] ADMIRALTY (WEST),22.27969,114.16386000000001,467,0,Asia/Hong_Kong,FB,,0.9183134884439822
1509,"[NWFB] MAN MO TEMPLE, HOLLYWOOD ROAD",22.28418,114.15016999999999,1509,0,Asia/Hong_Kong,FB,,0.8559169568676379
1130,"[KMB+CTB] CAUSEWAY BAY CENTRE/<BR>CAUSEWAY CENTRE, HARBOUR ROAD|[NWFB] CAUSEWAY CENTRE, HARBOUR ROAD",22.280739999999998,114.1761,1130,0,Asia/Hong_Kong,FB,,0.9228729726107625
13088,[KMB] ST MARTIN|[LWB] ST MARTIN,22.4298,114.20331999999999,13088,0,Asia/Hong_Kong,FB,,0.9621825187523896
1503,[NWFB] LAI TAK TSUEN,22.28002,114.19362,1503,0,Asia/Hong_Kong,FB,,0.8352341557816418
8090,"[KMB+NWFB] YING TUNG HOUSE/<BR>YING TUNG HOUSE, TUNG TAU TSUEN ROAD|[KMB] YING TUNG HOUSE",22.334039999999998,114.19103,8090,0,Asia/Hong_Kong,FB,,0.7851804745603724
6047,[KMB] SUN TIN WAI BUS TERMINUS|[KMB] SUN TIN WAI ESTATE,22.37086,114.18616000000002,6047,0,Asia/Hong_Kong,FB,,0.7439758674954696
6250,[KMB] SAVANNA GARDEN,22.437920000000002,114.18257,6250,0,Asia/Hong_Kong,FB,,0.8857404400749019
13181,[KMB] LAU HANG,22.46293,114.18066999999999,13181,0,Asia/Hong_Kong,FB,,0.6565537274720233
12968,[LRTFeeder] YUEN LONG TOWN HALL (LR FUNG NIN ROAD STOP),22.443379999999998,114.02228000000001,12968,0,Asia/Hong_Kong,FB,,0.9605784393216374
9666,"[CTB] MA TAU PA ROAD|[KMB] MA TAU PA ROAD, TSUEN WAN|[LWB] MA TAU PA ROAD, TSUEN WAN",22.366970000000002,114.11638,9666,0,Asia/Hong_Kong,FB,,0.8144680619824153
13056,"[CTB] HONG KONG EAST TREE TEAM, TUNG HEI ROAD|[NWFB] HONG KONG EAST TREE TEAM, TUNG HEI ROAD",22.28088,114.22996,13056,0,Asia/Hong_Kong,FB,,0.8038990070434148
9608,[KMB] WAI TSUEN SPORTS CENTRE,22.37314,114.12245,9608,0,Asia/Hong_Kong,FB,,0.8471738725029552
820,"[CTB] REGAL ORIENTAL HOTEL, PRINCE EDWARD ROAD EAST|[KMB+CTB] REGAL ORIENTAL HOTEL/<BR>REGAL ORIENTAL HOTEL, PRINCE EDWARD ROAD EAST|[KMB+NWFB] REGAL ORIENTAL HOTEL/<BR>REGAL ORIENTAL HOTEL, PRINCE EDWARD ROAD EAST|[KMB] REGAL ORIENTAL HOTEL|[NWFB] REGAL ORIENTAL HOTEL, PRINCE EDWARD ROAD EAST",22.32873,114.19211000000001,820,0,Asia/Hong_Kong,FB,,0.8483784021866291
