x,y,English Name,Type
114.1770525,22.24842222,"Shouson Hill Road,  house no. 3A",GMB
114.1800043,22.24960597,"Shouson Hill Road,  Near Shouson Hill Road West",GMB
114.1832894,22.24847561,"Shouson Hill Road East,  house no. 1",GMB
114.1845425,22.24997102,"Deep Water Bay Road,  Outside Manderly Garden",GMB
114.1909889,22.25721587,"Deep Water Bay Road,  Near Rockybank",GMB
114.1925464,22.25881575,"Wong Nai Chung Gap Road,  Opposite Hong Kong Cricket Club",GMB
114.189193,22.26321896,"Blue Pool Road,  near Green Lane",GMB
114.1838044,22.26976185,"Wong Nai Chung Road,  house no. 11-11A",GMB
114.1801784,22.27705763,"Morrison Hill Road,  house no. 32",GMB
114.1824451,22.28097915,"Jaffe Road, Percival Street",GMB
114.1848654,22.27064176,"Wong Nai Chung Road,  near Blue Pool Road",GMB
114.1859078,22.26328673,"Tai Hang Road,  junction with Wong Nai Chung Gap Road",GMB
114.1918197,22.25999888,"Wong Nai Chung Gap Road,  Outside Hong Kong Tennis Centre",GMB
114.1913914,22.25703985,"Deep Water Bay Road,  Near Lynx Hill",GMB
114.1844806,22.25015814,"Deep Water Bay Road,  Opposite Manderly Garden",GMB
114.183036,22.24840231,"Shouson Hill Road East,  house no. 8",GMB
114.1800189,22.24960375,"Shouson Hill Road westbound,  Near Shouson Hill Road West",GMB
114.177087,22.24842424,"Shouson Hill Road,  Opposite house no. 3A",GMB
114.1757797,22.24877514,"opposite to Wong Chuk Hang San Wai,  Wong Chuk Hang Road",GMB
114.1734467,22.24996056,"Wong Chuk Hang Road,  outside Wong Chuk Hang Sports Centre",GMB
114.1704659,22.2503482,"Wong Chuk Hang Road,  Wong Chuk Hang Recreation Ground",GMB
114.1730502,22.25137419,Grantham Hospital,GMB
114.1319669,22.26190794,Near Baguio Villa Block 17,GMB
114.1325188,22.26134225,Baguio Villas(Lower),GMB
114.1293766,22.26697068,"Victoria Road,  near Telegraph Bay",GMB
114.1286522,22.26815475,"Sassoon Road,  opposite to house no. 21",GMB
114.1299216,22.26976736,"Sassoon Road,  Outside Waylun Hall",GMB
114.1306869,22.27759636,"Pok Fu Lam Road,  Near Pokfulam Road Playground",GMB
114.1336079,22.28425932,"Pok Fu Lam Road,  outside Block 3 of The Belchers",GMB
114.1359294,22.28360578,"Pok Fu Lam Road,  house no. 79",GMB
114.1381969,22.28477373,No.71 Bonham Road,GMB
114.1412467,22.28476976,No.53 Bonham Road,GMB
114.1433047,22.28430126,"Bonham Road,  Layby Outside David Trench Rehabilitation Centre",GMB
114.1474163,22.28376782,"Bonham Road,  bus bay near Hospital Road",GMB
114.1488152,22.28313413,"Caine Road,  eastbound bus bay opposite house no. 144",GMB
114.1502521,22.28277993,No.119-125 Caine Road,GMB
114.1516336,22.28163353,"Caine Road,  Layby Outside House No. 79",GMB
114.1586642,22.28348261,Connaught Place Northbound,GMB
114.1585197,22.28368704,Central (Exchange Square),GMB
114.1336079,22.28425932,"Pok Fu Lam Road,  outside the Belcher^s",GMB
114.1366668,22.28379682,"University of Hong Kong West Gate,  Pok Fu Lam Road",GMB
114.1336309,22.28412091,Pok Fu Lam Road opposite the Belcher^s,GMB
114.1279553,22.26753698,"Sassoon Road,  house no. 21",GMB
114.1293555,22.26695099,"Victoria Road,  near Sassoon Road",GMB
114.1342978,22.26199229,Opposite Baguio Villa Block 24,GMB
114.1577195,22.27462113,No.5j-k Bowen Road,GMB
114.1618388,22.27431814,"Bowen Road,  Opposite Borrett Mansions",GMB
114.1634335,22.27414305,Borrett Road outside Carmel School,GMB
114.1638575,22.2738493,20 Borrett Road,GMB
114.1633068,22.27666225,No. 42A Kennedy Road,GMB
114.1614381,22.27594116,No. 42 Kennedy Road,GMB
114.1587546,22.2762745,No. 26 Kennedy Road,GMB
114.1618798,22.28015705,"Murray Road,  outside Murray Road multi-story car park",GMB
114.1613066,22.28183864,Connaught Road Central outside City Hall Carpark,GMB
114.1604004,22.27770038,No. 9 Cotton Tree Drive outside Hong Kong Squash Centre,GMB
114.182166,22.28034696,No.482 Lockhart Road,GMB
114.1797111,22.2793748,"Lockhart Road,  Marsh Road",GMB
114.1760556,22.2778433,No. 256 Hennessy Road,GMB
114.1688824,22.27769527,No. 22 Hennessy Road,GMB
114.1652695,22.27807707,"Queensway,  outside Pacific Place",GMB
114.1542649,22.2793749,"Caine Road,  Caritas House",GMB
114.1522312,22.28107196,"Caine Road,  Shelly Street",GMB
114.1505085,22.28268856,"Caine Road,  Shing Wong Street",GMB
114.1450253,22.28491282,"Bonham Road,  Euston Court",GMB
114.1433734,22.28428906,No. 64 Bonham Road,GMB
114.142128,22.28441266,"Bonham Road,  Centre Street",GMB
114.1390015,22.28392095,"Pok Fu Lam Road,  East Gate of University of Hong Kong",GMB
114.1366668,22.28379682,"Pok Fu Lam Road,  West Gate of University of Hong Kong",GMB
114.1336309,22.28412091,"Pok Fu Lam Road,  opposite the Belcher",GMB
114.1325449,22.28206368,"Pok Fu Lam Road,  Pokfield Road Bus Terminus",GMB
114.1310763,22.27833637,"Pok Fu Lam Road,  Pok Fu Lam Road Playground",GMB
114.1308073,22.2722168,"Pok Fu Lam Road,  Queen Mary Hospital",GMB
114.127636,22.26978055,Bisney Road,GMB
114.1248255,22.27164653,"Sandy Bay Road,  The Duchess of Kent Children?????s Hospital",GMB
114.1238321,22.26975957,"Sha Wan Drive,  MacLehose Medical Rehabilitation Centre",GMB
114.126209,22.26653778,"Sha Wan Drive,  Stanley Ho Sports Centre",GMB
114.1301558,22.26194362,Cyberport Public Transport Interchange,GMB
114.1273787,22.27015936,Consort Rise,GMB
114.1306869,22.27759636,"Pok Fu Lam Road,  Mount Davis Road",GMB
114.1321316,22.28171626,"Pok Fu Lam Road,  opposite to Pokfield Road Bus Terminus",GMB
114.1336079,22.28425932,"Pok Fu Lam Road,  Belcher Gardens",GMB
114.1342773,22.28436721,"Pok Fu Lam Road,  Yam Pak Building",GMB
114.1381969,22.28477373,"Bonham Road,  St. Paul?????s College",GMB
114.1387629,22.28398732,"Bonham Road,  Hong Kong University",GMB
114.1412467,22.28476976,"Bonham Road,  Ning Yeung Terrace",GMB
114.1433047,22.28430126,"Bonham Road,  Eastern Street",GMB
114.1458148,22.28480774,"Bonham Road,  High Street",GMB
114.1474163,22.28376782,"Bonham Road,  Hospital Road",GMB
114.1488152,22.28313413,"Caine Road,  Ladder Street",GMB
114.1502521,22.28277993,No. 119 ????? 125 Caine Road,GMB
114.1516336,22.28163353,No. 79 Caine Road,GMB
114.1646612,22.27837686,Queensway outside Admiralty Garden near Admiralty Station Exit C1,GMB
114.1688519,22.27782549,"Hennessy Road,  outside Asian House",GMB
114.1791239,22.27868407,"No. 381 -383 Hennessy Road,   Fuji Building",GMB
114.182214,22.28036516,No. 483 Lockhart Road,GMB
114.1824451,22.28097915,"Lockhart Road,  Percival Street",GMB
114.1390015,22.28392095,"Pok Fu Lam Road, East Gate of University of Hong Kong",GMB
114.1248765,22.26879087,Scenic Villa,GMB
114.1336309,22.28412091,"Pok Fu Lam Road,  opposite The Belcher^s",GMB
114.1336079,22.28425932,Pok Fu Lam Road outside The Belcher^s,GMB
114.1265786,22.28300909,Davis Street,GMB
114.1317538,22.28573005,"Opposite to Praya Kennedy Town,  house nos. 20-21",GMB
114.1360233,22.28674907,"Des Voeux Road West,  Eastern End Of Hong Kong Plaza",GMB
114.1379291,22.28724573,Des Voeux Road West outside Kwan Yick Building Phase 2,GMB
114.1423974,22.28818738,Centre Street opposite Pacific Hotel,GMB
114.1441036,22.28508186,High Street opposite Sai Ying un Community Complex,GMB
114.1423098,22.28633004,Centre Street outside Centre Street Market,GMB
114.1420006,22.28692599,No.300 Queen^s Road West,GMB
114.1388898,22.28657944,No.414 Queen^s Road West,GMB
114.1348945,22.28614228,No.520 Queen^s Road West,GMB
114.1344486,22.28624391,No.524 Queen^s Road West,GMB
114.1306978,22.28370744,No.24 Belcher^s Street,GMB
114.1293552,22.28279972,No.46 Belcher^s Street,GMB
114.128429,22.2826263,No.82 Belcher^s Street,GMB
114.1272634,22.28243855,No.122 Belcher^s Street,GMB
114.1286005,22.27975741,Kwun Lung Lau,GMB
114.1273703,22.28314162,No.71 Catchick Street,GMB
114.1304385,22.2844428,Kennedy Town Praya outside Belcher Bay Park,GMB
114.1283126,22.28213125,No.12F-G Smithfield,GMB
114.1292011,22.2804069,No.12Q-R Smithfield,GMB
114.1253489,22.28122807,"Ka Wai Man Road,  near Sai Wan Estate",GMB
114.1230762,22.28086385,"Ka Wai Man Road,  Near Kennedy Town Police R & F Quarters",GMB
114.1259775,22.28281765,"Cadogan Street,  outside Cadogan Street Temporary Garden",GMB
114.1281466,22.28290551,No.8A-D Smithfield,GMB
114.129955,22.2813947,Pokfield Road opposite University Height,GMB
114.1321316,22.28171626,Pok Fu Lam Road near Pokfield Road,GMB
114.1336079,22.28425932,No.89 Pok Fu Lam Road,GMB
114.1359294,22.28360578,No.79b Pok Fu Lam Road,GMB
114.138346,22.28527473,No.47 Pok Fu Lam Road,GMB
114.136091,22.28586795,No.470 Queen^s Road West,GMB
114.1843807,22.27867218,"Near The Lee Gardens Manulife Plaza,  Lan Fong Road",GMB
114.1858974,22.27249478,Broadwood Road outside Villa Rocha,GMB
114.1863729,22.27150699,Broadwood Road outside Villa Lotto,GMB
114.1881015,22.26911787,Broadwood Road outside Broadwood Park,GMB
114.1911533,22.27043846,Tai Hang Road near Perkins Road,GMB
114.1928416,22.27354289,Tai Hang Road opposite Park Garden,GMB
114.1941001,22.27352911,"Chun Fai Road,  Outside Block 3,  Flora Garden",GMB
114.193691,22.27246626,Moorsom Road near Aurizon,GMB
114.1953805,22.27033767,"Moorsom Road,  Outside Butler Garden",GMB
114.1942877,22.26941033,"Moorsom Road,  Outside Moorom Lodge",GMB
114.1896234,22.26847589,Broadwood Road outside The Colonnade,GMB
114.1849424,22.27491648,Link Road near Leighton Hill,GMB
114.193781,22.26807318,Perkins Road No. 79,GMB
114.1913435,22.26746626,"Copper Road,  Opposite No.10",GMB
114.1913975,22.2692207,Creasy Road near Copper Road,GMB
114.2372661,22.26525086,Chai Wan Station Bus Terminus,GMB
114.2360382,22.26219845,Wan Tsui Road East,GMB
114.2343961,22.25859447,Cape Collinson Road,GMB
114.2322782,22.25715799,Tai Tam Gap,GMB
114.2291397,22.25684937,Shek O Road,GMB
114.2212107,22.24621762,"Tai Tam Road,  Tai Tam Dam (North)",GMB
114.2214193,22.2398118,"Tai Tam Road,  near \\Tai Tam Reservoir Road",GMB
114.2229823,22.23552387,"Tai Tam Road,  outside The Red Hill Peninisula",GMB
114.2177469,22.22850242,Tai Tam Road,GMB
114.2133264,22.22397206,Stanley Village Road,GMB
114.2132034,22.2197133,"Stanley Beach Road,  Outside Tai Tam Village",GMB
114.2057902,22.22227189,"Cape Road,  Outside Lung Chun House,  Lung Yan Court",GMB
114.2050817,22.21616218,"Chung Hom Kok Road,  Outside Pacific View",GMB
114.1975624,22.21185764,"Chung Hom Kok Road,  Cheshire Home",GMB
114.222799,22.23561707,"Tai Tam Road,  opposite to The Red Hill Peninisula",GMB
114.221303,22.23999408,"Tai Tam Road,  Tai Tam Reservoir Road",GMB
114.2330188,22.26937533,Shan Tsui Court,GMB
114.2335755,22.26811993,"Chai Wan Road,  opposite to The Methodist Church Epworth Village Community Centre",GMB
114.221303,22.23999408,"Tai Tam Road,  near Tai Tam Reservoir Road",GMB
114.2360382,22.26219845,"Wan Tsui Road,  Outside Fook Tsui House",GMB
114.2343961,22.25859447,Sai Wan War Cemetery,GMB
114.2177469,22.22850242,"Tai Tam Road,  Outside The Manhattan",GMB
114.221206,22.24643613,Tai Tam Dam (North),GMB
114.2330188,22.26937533,"Tai Tam Road,  opposite to Shan Tsui Court",GMB
114.2366008,22.26253237,"Wan Tsui Road,  outside Chak Tsui House",GMB
114.2401364,22.26061043,"Cape Collison Road,  Chinese Permanent Cemetery",GMB
114.2466572,22.26016566,"Cape Collison Road,  Second Columbarium",GMB
114.2535199,22.25123742,Cape Collinson Correctional Institution,GMB
114.2367492,22.26264498,"Wan Tsui Road,  opposite to Chak Tsui House",GMB
114.2244587,22.28493586,Sai Wan Ho (Grand Promenade) Public Transport Terminus,GMB
114.2223998,22.28236897,"Tai On Street,  Entrance To Sai Wan Ho Market",GMB
114.2225006,22.2814574,"Shau Kei Wan Road,  East Of Holy Cross Path",GMB
114.2261712,22.27907116,No.275 Shau Kei Wan Road,GMB
114.2272992,22.27751355,No.345 Shau Kei Wan Road,GMB
114.2346598,22.26440718,"Chai Wan Road,  Hing Man Industrial Centre",GMB
114.2387641,22.26329264,"Chai Wan Road,  Outside Winner Centre",GMB
114.239983,22.26386823,"Chai Wan Road,  Outside Walton Estate",GMB
114.2422408,22.26554106,"Chai Wan Road,  Outside Yu Wan Estate",GMB
