stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Bonham Road,  St. Paul?????s College","Bonham Road,  Hong Kong University",114.0,57.0,76.0,57.0
"Bonham Road,  Hong Kong University","Bonham Road,  Ning Yeung Terrace",114.0,57.0,76.0,57.0
"Bonham Road,  Ning Yeung Terrace","Bonham Road,  Eastern Street",114.0,57.0,76.0,57.0
"Bonham Road,  Eastern Street","Bonham Road,  High Street",114.0,57.0,76.0,57.0
"Bonham Road,  High Street","Bonham Road,  Hospital Road",114.0,57.0,76.0,57.0
"Bonham Road,  Hospital Road","Caine Road,  Ladder Street",114.0,57.0,76.0,57.0
"Caine Road,  Ladder Street",No. 119 ????? 125 Caine Road,114.0,57.0,76.0,57.0
No. 119 ????? 125 Caine Road,No. 79 Caine Road,114.0,57.0,76.0,57.0
No. 79 Caine Road,Queensway outside Admiralty Garden near Admiralty Station Exit C1,114.0,57.0,76.0,57.0
Queensway outside Admiralty Garden near Admiralty Station Exit C1,"Hennessy Road,  outside Asian House",285.0,171.0,228.0,171.0
"Hennessy Road,  outside Asian House","No. 381 -383 Hennessy Road,   Fuji Building",114.0,57.0,76.0,57.0
"No. 381 -383 Hennessy Road,   Fuji Building",No. 483 Lockhart Road,114.0,57.0,76.0,57.0
No. 483 Lockhart Road,"Lockhart Road,  Percival Street",114.0,57.0,76.0,57.0
Hang Hau Station Public Transport Interchange,"Po Ning Road,  Outside Tseung Kwan O Hospital",456.0,60.8,456.0,60.8
"Po Ning Road,  Outside Tseung Kwan O Hospital","Clear Water Bay Road,  Outside Rose De Cosa",380.0,38.0,380.0,38.0
"Clear Water Bay Road,  Outside Rose De Cosa","Clear Water Bay Road,  Outside Tai Po Tsai Tsuen",380.0,38.0,380.0,38.0
"Clear Water Bay Road,  Outside Tai Po Tsai Tsuen","Clear Water Bay Road,  near HKUST",380.0,38.0,380.0,38.0
"Clear Water Bay Road,  near HKUST","Hiram^s Highway,  opposite Marina Cove Stage 2",380.0,38.0,380.0,38.0
"Hiram^s Highway,  opposite Marina Cove Stage 2","Hiram^s Highway,  Opposite to Hebe Haven Yacht Club",380.0,38.0,380.0,38.0
"Hiram^s Highway,  Opposite to Hebe Haven Yacht Club",Wai Man Road PLB Terminus,380.0,38.0,380.0,38.0
Wai Man Road PLB Terminus,"Po Tung Road,  Sai Kung Town Hall",380.0,38.0,380.0,38.0
"Po Tung Road,  Sai Kung Town Hall","Hiram^s Highway,  Outside Hebe Haven Yacht Club",494.0,114.0,494.0,114.0
"Hiram^s Highway,  Outside Marina Cove Stage 2","Hiram^s Highway,  Outside Sai Kung Central Primary School",380.0,38.0,380.0,38.0
"Hiram^s Highway,  Outside Sai Kung Central Primary School","Clear Water Bay Road,  Opposite to Tai Po Tsai Tsuen",380.0,38.0,380.0,38.0
"Clear Water Bay Road,  Opposite to Tai Po Tsai Tsuen","Po Ning Road,  opposite to Tseung Kwan O Hospital",380.0,38.0,380.0,38.0
"Po Ning Road,  opposite to Tseung Kwan O Hospital","opposite East Point City,  Block 6",570.0,180.5,570.0,114.0
"opposite East Point City,  Block 6",Hang Hau Station Public Transport Interchange,380.0,38.0,380.0,38.0
Hang Hau Station Public Transport Interchange,"Hong Keung Street,  Opposite Hong King Building",570.0,570.0,228.0,76.0
"Hong Keung Street,  Opposite Hong King Building","Po Ning Road,  Outside Hau Tak Estate",570.0,570.0,228.0,76.0
"Po Ning Road,  Outside Hau Tak Estate",Prince Edward Road East No.702B,570.0,570.0,228.0,76.0
Prince Edward Road East No.702B,"Po Shun Road,  Outside Chung Ming Court",570.0,570.0,228.0,76.0
"Po Shun Road,  Outside Chung Ming Court",Rhythm Garden Block 7,570.0,570.0,228.0,76.0
Rhythm Garden Block 7,No.398 Kwun Tong Road,570.0,570.0,228.0,76.0
No.398 Kwun Tong Road,"Po Shun Road,  Outside Tseung Kwan O Swimming Pool",570.0,570.0,228.0,76.0
"Po Shun Road,  Outside Tseung Kwan O Swimming Pool",No.368 Kwun Tong Road,570.0,570.0,228.0,76.0
No.368 Kwun Tong Road,"Chung Wa Road,  Opposite Block 6,  East Point City",570.0,570.0,228.0,76.0
"Chung Wa Road,  Opposite Block 6,  East Point City",Hang Hau Station Public Transport Interchange,1330.0,1197.0,646.0,209.0
Hang Hau Station Public Transport Interchange,No.320 Kwun Tong Road,570.0,570.0,228.0,76.0
No.320 Kwun Tong Road,Kwun Tong Road near Sheung Yee Road flyover,855.0,703.0,513.0,190.0
Kwun Tong Road near Sheung Yee Road flyover,"Kwun Tong Road,  Near Lamp Post No.AB1799",855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.AB1799","Kwun Tong Road,  Near Lamp Post No.CF1683",855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.CF1683","Lung Cheung Road,  Outside Hung Ngok House,  Choi Hung Estate",855.0,703.0,513.0,190.0
"Lung Cheung Road,  Outside Hung Ngok House,  Choi Hung Estate",No.222 Choi Hung Road,760.0,627.0,418.0,133.0
No.222 Choi Hung Road,Tai Yau Street No.31,760.0,627.0,418.0,133.0
Tai Yau Street No.31,"Hong Keung Street,  Opposite Hong King Building",902.5,722.0,560.5,209.0
"Hong Keung Street,  Opposite Hong King Building",Prince Edward Road East No.702B,570.0,570.0,228.0,76.0
Prince Edward Road East No.702B,Rhythm Garden Block 7,570.0,570.0,228.0,76.0
Rhythm Garden Block 7,"Prince Edward Road East,  Near Lamp Post No.khm33",570.0,570.0,228.0,76.0
"Prince Edward Road East,  Near Lamp Post No.khm33","Kwun Tong Road,  Outside St. Joseph^s Anglo-chinese Primary School",760.0,627.0,418.0,133.0
"Kwun Tong Road,  Outside St. Joseph^s Anglo-chinese Primary School","Kwun Tong Road,  Opposite to Telford Gardens",855.0,703.0,513.0,190.0
"Kwun Tong Road,  Opposite to Telford Gardens","Kwun Tong Road,  Near Lamp Post No.AB1737",855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.AB1737",No.275 Kwun Tong Road,855.0,703.0,513.0,190.0
No.275 Kwun Tong Road,No.315 Kwun Tong Road,855.0,703.0,513.0,190.0
No.315 Kwun Tong Road,Kwun Tong Road outside Ngau Tau Kok Station,855.0,703.0,513.0,190.0
Kwun Tong Road outside Ngau Tau Kok Station,No.371 Kwun Tong Road,855.0,703.0,513.0,190.0
No.371 Kwun Tong Road,"Kwun Tong Road,  Near Lamp Post No.AA0643",855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.AA0643","Tseung Kwan O Road,  Outside Kwun Tong Police Station",855.0,703.0,513.0,190.0
"Tseung Kwan O Road,  Outside Kwun Tong Police Station","Po Shun Road,  Outside Tseung Kwan O Swimming Pool",855.0,703.0,513.0,190.0
"Po Shun Road,  Outside Tseung Kwan O Swimming Pool","Chung Wa Road,  Opposite Block 6,  East Point City",855.0,703.0,513.0,190.0
"Ngan O Road,  Outside Yuk Ming Court","Po Ning Road,  opposite to Tseung Kwan O Hospital",95.0,76.0,95.0,57.0
"Po Ning Road,  opposite to Tseung Kwan O Hospital","Po Ning Road,  Outside Hau Tak Estate",209.0,133.0,209.0,114.0
"Po Ning Road,  Outside Hau Tak Estate","Po Shun Road,  Outside Chung Ming Court",589.0,332.5,589.0,247.0
"Po Shun Road,  Outside Chung Ming Court",No.398 Kwun Tong Road,285.0,133.0,285.0,114.0
No.398 Kwun Tong Road,No.368 Kwun Tong Road,285.0,133.0,285.0,114.0
No.368 Kwun Tong Road,No.320 Kwun Tong Road,285.0,133.0,285.0,114.0
