stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Bonham Road,  bus bay opposite to 80 Robinson Road","Caine Road,  Eastbound Bus Bay Opposite House No.144",133.0,114.0,152.0,152.0
"Caine Road,  Eastbound Bus Bay Opposite House No.144",No.119-125 Caine Road,133.0,114.0,152.0,152.0
No.119-125 Caine Road,No.79 Caine Road,304.0,228.0,304.0,266.0
No.79 Caine Road,"Chater Road,  Near Jackson Road",57.0,57.0,76.0,76.0
"Chater Road,  Near Jackson Road","Chater Road,  Outside Ritz Carlton Hotel",57.0,57.0,76.0,76.0
"Chater Road,  Outside Ritz Carlton Hotel","Murray Road,  outside Murray Road multi-story car park",57.0,57.0,76.0,76.0
"Murray Road,  outside Murray Road multi-story car park","Cotton Tree Drive,  Bus Bay Opposite Murray Building",57.0,57.0,76.0,76.0
"Cotton Tree Drive,  Bus Bay Opposite Murray Building",No.1Kennedy Road,57.0,57.0,76.0,76.0
No.1Kennedy Road,Opposite to No.32A Kennedy Road,133.0,114.0,152.0,152.0
Opposite to No.32A Kennedy Road,Opposite to No. 42 Kennedy Road,133.0,114.0,152.0,152.0
"Kennedy Road,  Opposite to Roberts Block,  Mother^s Choice",No. 9A Kennedy Road,133.0,114.0,152.0,152.0
No. 9A Kennedy Road,Kennedy Road Lamp Post No. 22424,133.0,114.0,152.0,152.0
Kennedy Road Lamp Post No. 22424,"Kennedy Road,  near Monmouth Terrace",133.0,114.0,152.0,152.0
Tai Po Market Station Minibus Terminus,"Wan Tau Street, Tai Po Complex",190.0,126.6666667,190.0,126.6666667
"Wan Tau Street, Tai Po Complex","Heung Sze Wui Street, Tai Po Complex",190.0,126.6666667,190.0,126.6666667
"Heung Sze Wui Street, Tai Po Complex",Nam Shing Street GMB Stand,190.0,126.6666667,190.0,126.6666667
Nam Shing Street GMB Stand,No.119 Kwong Fuk Road,190.0,126.6666667,190.0,126.6666667
Tai Po Road (Yuen Chau Tsai) at the bus stop outside Kwong Fuk Estate,Care Village/Wong Yi Au,190.0,126.6666667,190.0,126.6666667
Care Village/Wong Yi Au,Villa Castell / Villa Costa,190.0,126.6666667,190.0,126.6666667
Villa Castell / Villa Costa,Deerhill Bay,190.0,126.6666667,190.0,126.6666667
Deerhill Bay,Cheung Shue Tan,190.0,126.6666667,190.0,126.6666667
Cheung Shue Tan,"Royal Ascot,  Fo Tan",190.0,126.6666667,190.0,126.6666667
"Royal Ascot,  Fo Tan","Tam Kon Po Street,  Outside Sha Tin Town Hall",228.0,152.00000003,228.0,152.00000003
"Tam Kon Po Street,  Outside Sha Tin Town Hall",Royal Park Hotel,228.0,152.00000003,228.0,152.00000003
Royal Park Hotel,"Sha Tin Centre Street,  Outside Hilton Plaza",190.0,126.6666667,190.0,126.6666667
"Sha Tin Centre Street,  Outside Hilton Plaza",Lucky Plaza,190.0,126.6666667,190.0,126.6666667
Lucky Plaza,"Royal Ascot,  Fo Tan",228.0,152.00000003,228.0,152.00000003
"Royal Ascot,  Fo Tan",Bus lay-by at Lok Shun Path roundabout,228.0,152.00000003,228.0,152.00000003
Bus lay-by at Lok Shun Path roundabout,Chung Chi College,228.0,152.00000003,228.0,152.00000003
Chung Chi College,Cheung Shue Tan,190.0,126.6666667,190.0,126.6666667
Cheung Shue Tan,Villa Castell / Villa Costa,190.0,126.6666667,190.0,126.6666667
Villa Castell / Villa Costa,Care Village / Wong Yi Au,190.0,126.6666667,190.0,126.6666667
Care Village / Wong Yi Au,Tai Po Road westbound bus lay-by opposite Kwong Fuk Estate,190.0,126.6666667,190.0,126.6666667
Tai Po Road westbound bus lay-by opposite Kwong Fuk Estate,Wong Shiu Chi Secondary School,190.0,126.6666667,190.0,126.6666667
Wong Shiu Chi Secondary School,Kwong Fuk Road westbound near Tai Po Commercial Centre,190.0,126.6666667,190.0,126.6666667
Kwong Fuk Road westbound near Tai Po Commercial Centre,"Wan Tau Street,  Heung To College of Professional Studies",190.0,126.6666667,190.0,126.6666667
"Wan Tau Street,  Heung To College of Professional Studies",Tai Po Market Station Minibus Terminus,190.0,126.6666667,190.0,126.6666667
"Wai King Street,  Outside Block A,  Wei Chien Court","To Kwa Wan Road,  Outside The Hong Kong China Gas Company Limited",228.0,76.0,114.0,76.0
"To Kwa Wan Road,  Outside The Hong Kong China Gas Company Limited",Jubilant Place,228.0,76.0,114.0,76.0
Jubilant Place,Ma Hang Chung Road,228.0,76.0,114.0,76.0
Ma Hang Chung Road,Tin Kwong Road near Ma Tau Wai Road,228.0,76.0,114.0,76.0
Tin Kwong Road near Ma Tau Wai Road,Sheung Shing Street near Sheung Lok Street,228.0,76.0,114.0,76.0
Sheung Shing Street near Sheung Lok Street,"Sheung Shing Street,  St. Teresa Secondary School",228.0,76.0,114.0,76.0
"Sheung Shing Street,  St. Teresa Secondary School",Pui Ching Road At Bus Bay Outside Pui Ching School,228.0,76.0,114.0,76.0
No.19a Soares Avenue,No.98 Argyle Street,380.0,228.0,266.0,228.0
No.98 Argyle Street,No.62 Argyle Street,380.0,228.0,266.0,228.0
No.62 Argyle Street,Reclamation Street near Argyle,228.0,76.0,114.0,76.0
Reclamation Street near Argyle,"Fife Street,  Outside Hung On House",228.0,76.0,114.0,76.0
"Fife Street,  Outside Hung On House","Argyle Street,  Outside Sincere Building",228.0,76.0,114.0,76.0
"Argyle Street,  Outside Sincere Building","Argyle Street,  Glen Haven",228.0,76.0,114.0,76.0
"Argyle Street,  Glen Haven","Waterloo Road,  Man Kee Mansion",228.0,76.0,114.0,76.0
"Waterloo Road,  Man Kee Mansion",Pui Ching Road At Bus Bay Near Kowloon Public Library,228.0,76.0,114.0,76.0
Pui Ching Road At Bus Bay Near Kowloon Public Library,"Sheung Shing Street,  St. Teresa Secondary School",228.0,76.0,114.0,76.0
"Sheung Shing Street,  St. Teresa Secondary School","Sheung Shing Street,  Sheung Lok Estate",285.0,108.57142857,171.0,108.57142857
"Sheung Shing Street,  Sheung Lok Estate",Ma Tau Wai Road naer Ma Hang Chung Road,228.0,76.0,114.0,76.0
Ma Tau Wai Road naer Ma Hang Chung Road,No.187 Ma Tau Wai Road,228.0,76.0,114.0,76.0
No.187 Ma Tau Wai Road,"Sheung Keung Road,  Pau Chung Street",285.0,108.57142857,171.0,108.57142857
"Sheung Keung Road,  Pau Chung Street","Sheung Heung Road,  Cheung Ning Street",285.0,108.57142857,171.0,108.57142857
"Sheung Heung Road,  Cheung Ning Street","To Kwa Wan Road,  New Lee Wah Centre",228.0,76.0,114.0,76.0
"To Kwa Wan Road,  New Lee Wah Centre","San Ma Tau Road,  Kapok Industrial Building",228.0,76.0,114.0,76.0
"San Ma Tau Road,  Kapok Industrial Building","Wai King Street,  Outside Block A,  Wei Chien Court",285.0,108.57142857,171.0,108.57142857
"Wai King Street,  Outside Block A,  Wei Chien Court","To Kwa Wan Road,  New Lee Wah Centre",57.0,32.57142857,57.0,32.57142857
"To Kwa Wan Road,  New Lee Wah Centre","Ma Tau Kok Road,  Jubilant Place",57.0,32.57142857,57.0,32.57142857
"Ma Tau Kok Road,  Jubilant Place",Ma Hang Chung Road,57.0,32.57142857,57.0,32.57142857
Ma Hang Chung Road,"Tin Kwong Road,  Hillville Terrace",57.0,32.57142857,57.0,32.57142857
"Tin Kwong Road,  Hillville Terrace","Maidstaone Road,  Lok Shan Road",57.0,32.57142857,57.0,32.57142857
"Maidstaone Road,  Lok Shan Road","Lok Man Sun Chuen,  Lok Kei House",57.0,32.57142857,57.0,32.57142857
"Lok Man Sun Chuen,  Lok Kei House","Lok Man Sun Chuen,  Lok Oi House",57.0,32.57142857,57.0,32.57142857
"Lok Man Sun Chuen,  Lok Oi House","Ko Shan Road,  Opposite Ko Shan Theatre",57.0,32.57142857,57.0,32.57142857
"Ko Shan Road,  Opposite Ko Shan Theatre","Shun Yung Street,  The Evergreen",57.0,32.57142857,57.0,32.57142857
"Shun Yung Street,  The Evergreen","Fat Kwong Street,  Yan Fung Street",57.0,32.57142857,57.0,32.57142857
"Fat Kwong Street,  Yan Fung Street",Ho Man Tin Station,57.0,32.57142857,57.0,32.57142857
Ho Man Tin Station,"Fat Kwong Street,  Housing Authority Headquarters",57.0,32.57142857,57.0,32.57142857
"Fat Kwong Street,  Housing Authority Headquarters",Homantin Plaza,57.0,32.57142857,57.0,32.57142857
Homantin Plaza,Ho Man Tin Estate Public Transport Interchange,285.0,136.20779217,247.0,146.57142857
Ho Man Tin Estate Public Transport Interchange,Homantin Plaza,285.0,136.20779217,247.0,146.57142857
Homantin Plaza,"Fat Kwong Street,  The Open University Of Hong Kong",57.0,32.57142857,57.0,32.57142857
"Fat Kwong Street,  The Open University Of Hong Kong","Sheung Shing Street,  St. Teresa Secondary School",57.0,32.57142857,57.0,32.57142857
"Sheung Shing Street,  Sheung Lok Estate","Ma Tau Wai Road,  Ma Hang Chung Road",57.0,32.57142857,57.0,32.57142857
"Ma Tau Wai Road,  Ma Hang Chung Road",No.187 Ma Tau Wai Road,57.0,32.57142857,57.0,32.57142857
"Sheung Heung Road,  Cheung Ning Street","San Ma Tau Road,  Kapok Industrial Building",57.0,32.57142857,57.0,32.57142857
No.79 Caine Road,No.1Kennedy Road,76.0,57.0,76.0,76.0
Pak Shek Kok (Fo Shing Road) Public Transport Interchange,Fo Chun Road outside Providence Bay Phase 3,38.0,25.33333333,38.0,25.33333333
Fo Chun Road lay-by near Lamp Post DE2431,Villa Castell / Villa Costa,38.0,25.33333333,38.0,25.33333333
Villa Castell / Villa Costa,"Royal Ascot,  Fo Tan",38.0,25.33333333,38.0,25.33333333
Royal Park Hotel,"Sha Tin Central Street,  Outside Hilton Plaza",38.0,25.33333333,38.0,25.33333333
"Sha Tin Central Street,  Outside Hilton Plaza",Lucky Plaza,38.0,25.33333333,38.0,25.33333333
Chung Chi College,Fo Chun Road lay-by near Lamp Post DE2431,38.0,25.33333333,38.0,25.33333333
Fo Chun Road lay-by near Lamp Post DE2431,Fo Chun Road outside Providence Bay Phase 2,38.0,25.33333333,38.0,25.33333333
Ap Lei Chau Bridge Road outside Ap Lei Chau Estate Bus Terminus,"Ap Lei Chau Bridge Road,  near Lee Chi Road (Outside Manly House)",57.0,45.6,57.0,45.6
"Ap Lei Chau Bridge Road,  near Lee Chi Road (Outside Manly House)","Ap Lei Chau Bridge Road,  near Ap Lei Chau Drive",57.0,45.6,57.0,45.6
"Ap Lei Chau Bridge Road,  near Ap Lei Chau Drive",Aberdeen Technical School,57.0,45.6,57.0,45.6
Aberdeen Technical School,Wong Chuk Hang Station,57.0,45.6,57.0,45.6
Wong Chuk Hang Station,"Shum Wan Road Public Transport Terminus,  Outside Block 1,  Broadview Court",57.0,45.6,57.0,45.6
"Shum Wan Road Public Transport Terminus,  Outside Block 1,  Broadview Court","Nam Long Shan Road,  Outside Nam Long Shan Road Cooked Food Market",57.0,45.6,57.0,45.6
"Nam Long Shan Road,  Outside Nam Long Shan Road Cooked Food Market",Wong Chuk Hang Station,57.0,45.6,57.0,45.6
Wong Chuk Hang Station,"Wong Chuk Hang Road,  outside House No. 16,  Victory Factory Buiding",57.0,45.6,57.0,45.6
"Wong Chuk Hang Road,  outside House No. 16,  Victory Factory Buiding",Ap Lei Chau Bridge Road outside Ap Lei Chau Estate Bus Terminus,57.0,45.6,57.0,45.6
"Ap Lei Chau Estate,  Outside Ap Lei Chau Estate Market",Yuet Hoi Street opposite to Tung Nam Building,25.33333333,25.33333333,25.33333333,25.33333333
Yuet Hoi Street opposite to Tung Nam Building,"San Shi Street,  Outside Ap Lei Chau Baptist Kindergarten",50.66666666,50.66666666,50.66666666,50.66666666
"San Shi Street,  Outside Ap Lei Chau Baptist Kindergarten",Wai Fung Street,25.33333333,25.33333333,25.33333333,25.33333333
Wai Fung Street,Main Street Ap Lei Chau near Ap Lei Chau Clinic,25.33333333,25.33333333,25.33333333,25.33333333
Main Street Ap Lei Chau near Ap Lei Chau Clinic,"Ap Lei Chau Bridge Road,  near Lee Chi Road (Outside Manly House)",25.33333333,25.33333333,25.33333333,25.33333333
"Ap Lei Chau Bridge Road,  near Lee Chi Road (Outside Manly House)","Wong Chuk Hang Road,  outside House No. 49-51,  near Fire Station",25.33333333,25.33333333,25.33333333,25.33333333
"Wong Chuk Hang Road,  outside House No. 49-51,  near Fire Station","Police School Road,  near Singapore International School",25.33333333,25.33333333,25.33333333,25.33333333
"Police School Road,  near Singapore International School",Shum Wan Road (Tai Shue Wan),25.33333333,25.33333333,25.33333333,25.33333333
Shum Wan Road (Tai Shue Wan),"Shum Wan Road,  opposite to Shum Wan Road Public Transport Terminus",25.33333333,25.33333333,25.33333333,25.33333333
"Shum Wan Road,  opposite to Shum Wan Road Public Transport Terminus","Nam Long Shan Road,  Outside Nam Long Shan Road Cooked Food Market",25.33333333,25.33333333,25.33333333,25.33333333
"Nam Long Shan Road,  Outside Nam Long Shan Road Cooked Food Market",Heung Yip Road,25.33333333,25.33333333,25.33333333,25.33333333
Heung Yip Road,Yuet Hoi Street opposite to Tung Nam Building,25.33333333,25.33333333,25.33333333,25.33333333
"San Shi Street,  Outside Ap Lei Chau Baptist Kindergarten",Main Street Ap Lei Chau near Ap Lei Chau Clinic,25.33333333,25.33333333,25.33333333,25.33333333
Main Street Ap Lei Chau near Ap Lei Chau Clinic,"Ap Lei Chau Estate,  Outside Ap Lei Chau Estate Market",25.33333333,25.33333333,25.33333333,25.33333333
"Suffolk Road,  Kowloon Tong Public Transport Interchange",No.322 Junction Road,162.8571429,76.0,162.8571429,76.0
No.322 Junction Road,"Junction Road,  Outside Kowloon International Baptist Church",162.8571429,76.0,162.8571429,76.0
"Junction Road,  Outside Kowloon International Baptist Church","Broadcast Drive,  Outside Radio Television Hong Kong Television House",162.8571429,76.0,162.8571429,76.0
"Broadcast Drive,  Opposite Radio Hong Kong Broadcasting House","Broadcast Drive,  Outside Block B,  Peninsula Height",162.8571429,76.0,162.8571429,76.0
"Broadcast Drive,  Outside Block B,  Peninsula Height","Junction Road,  Opposite Kam Shing Road Recreation Ground",162.8571429,76.0,162.8571429,76.0
"Junction Road,  Opposite Kam Shing Road Recreation Ground","Kowloon Tong Station,  opposite Kent Road exit",162.8571429,76.0,162.8571429,76.0
"Kowloon Tong Station,  opposite Kent Road exit","Suffolk Road,  Kowloon Tong Public Transport Interchange",325.7142858,152.0,325.7142858,152.0
"No.3 Suffolk RoadSuffolk Road,  Kowloon Tong Public Transport Interchange",Ede Road,162.8571429,76.0,162.8571429,76.0
Ede Road,"Beacon Hill Road,  Outside Elizabethan Court",162.8571429,76.0,162.8571429,76.0
"Beacon Hill Road,  Outside Elizabethan Court",Ede Road,162.8571429,76.0,162.8571429,76.0
Ede Road,"Kowloon Tong Station,  opposite Kent Road exit",162.8571429,76.0,162.8571429,76.0
"Tak Hong Street,  Under Whampoa Plaza",Tai Wan Road opposite Laguna Verde,114.0,76.0,114.0,76.0
Tai Wan Road opposite Laguna Verde,Tai Wan Road opposite Fisherman^s Wharf,114.0,76.0,114.0,76.0
Tai Wan Road opposite Fisherman^s Wharf,Hung Hum Road outside House no. 18,114.0,76.0,114.0,76.0
Hung Hum Road outside House no. 18,Bailey Street outside Sunshire Plaza,114.0,76.0,114.0,76.0
Bailey Street outside Sunshire Plaza,"No.232,  Ma Tau Wai Road",114.0,76.0,114.0,76.0
Tai Hang Tung Road No. 112,"Tai Hang Tung Road,  Nam Lok House",114.0,76.0,114.0,76.0
"Tai Hang Tung Road,  Nam Lok House",To Yuen Street No.33,114.0,76.0,114.0,76.0
"Tat Chee Avenue,  Ground Floor Of The Festival Walk","Tat Chi Avenue,  Village Garden",114.0,76.0,114.0,76.0
"Tat Chi Avenue,  Village Garden","Boundary Street,  outside Fa Hui Park",114.0,76.0,114.0,76.0
To Kwa Wan Road near Ngan Hon Street,"Bailey Street outside House no,  23",114.0,76.0,114.0,76.0
"Bailey Street outside House no,  23",Hung Hum Road outside Guardforce Centre,114.0,76.0,114.0,76.0
Hung Hum Road outside Guardforce Centre,"Tak Hong Street,  Under Whampoa Plaza",114.0,76.0,114.0,76.0
"Cotton Tree Drive,  Bus Bay Opposite Murray Building","Robinson Road,  Villa Elegance",190.0,114.0,114.0,57.0
"Robinson Road,  Villa Elegance",11 Conduit Road,190.0,114.0,114.0,57.0
11 Conduit Road,opposite to No.26 Conduit Road,190.0,114.0,114.0,57.0
opposite to No.26 Conduit Road,No.31 Conduit Road,190.0,114.0,114.0,57.0
No.31 Conduit Road,No.51 Conduit Road,190.0,114.0,114.0,57.0
No.51 Conduit Road,"Conduit Road,  Near Kotewall Road",190.0,114.0,114.0,57.0
"Conduit Road,  Near Kotewall Road",Kotewall Road No.15,190.0,114.0,114.0,57.0
Kotewall Road No.15,"Near Po Shan Mansions,  Po Shan Road",190.0,114.0,114.0,57.0
"Near Po Shan Mansions,  Po Shan Road","Kotewall Road,  Opposite No.15",190.0,114.0,114.0,57.0
"Kotewall Road,  Opposite No.15","Kotewall Road,  Near Conduit Road",190.0,114.0,114.0,57.0
"Kotewall Road,  Near Conduit Road","Conduit Road,  Opposite No.51",190.0,114.0,114.0,57.0
"Conduit Road,  Opposite No.51",No.56 Conduit Road,190.0,114.0,114.0,57.0
No.56 Conduit Road,No.38 Conduit Road,190.0,114.0,114.0,57.0
No.38 Conduit Road,No.22 Conduit Road,190.0,114.0,114.0,57.0
No.22 Conduit Road,No.18 Ice House Street,190.0,114.0,114.0,57.0
"Ashley Road,  Outside Hankow Centre",Northbound Carriageway Of Canton Road Outside China Ferry Terminal,380.0,114.0,380.0,114.0
Northbound Carriageway Of Canton Road Outside China Ferry Terminal,"Government Office,  Canton Road",380.0,114.0,380.0,114.0
"Government Office,  Canton Road",West Kowloon Station,380.0,114.0,380.0,114.0
West Kowloon Station,"Man Yuen House,  Ferry Street",380.0,114.0,380.0,114.0
"Man Yuen House,  Ferry Street",China Light Power in Canton Road,380.0,114.0,380.0,114.0
China Light Power in Canton Road,Reclamation Street near Wing Sing Lane,380.0,114.0,380.0,114.0
Reclamation Street near Wing Sing Lane,Reclamation Street near Nelson Street,380.0,114.0,380.0,114.0
Reclamation Street near Nelson Street,No.27 Tong Mi Road,380.0,114.0,380.0,114.0
No.27 Tong Mi Road,Fir Street,380.0,114.0,380.0,114.0
Fir Street,Ivy Street,380.0,114.0,380.0,114.0
Ivy Street,Tai Tsun Street near Tai Kok Tsui Road,380.0,114.0,380.0,114.0
Tai Tsun Street near Tai Kok Tsui Road,"Chung Wui Street,  Outside Chung Wo Building",380.0,114.0,380.0,114.0
"Yi Chun Street,  Outside Tung Yuen Restaurant","Po Lo Che Road,  Near Its Junction With Pak Kong Au Road",522.5,171.0,522.5,171.0
"Chung Wui Street,  Outside Chung Wo Building",Fuk Tsun Street near Walnut Street,380.0,114.0,380.0,114.0
Fuk Tsun Street near Walnut Street,Fuk Tsun Street near Tong Mi Road,380.0,114.0,380.0,114.0
Fuk Tsun Street near Tong Mi Road,Langham Place in Shanghai Street,380.0,114.0,380.0,114.0
Langham Place in Shanghai Street,Shanghai Street near Shantung Street,380.0,114.0,380.0,114.0
Shanghai Street near Shantung Street,Shanghai Street near Pitt Street,380.0,114.0,380.0,114.0
Shanghai Street near Pitt Street,Shanghai Street near Man Ming Lane,380.0,114.0,380.0,114.0
Shanghai Street near Man Ming Lane,Shanghai Street near Wing Sing Lane,380.0,114.0,380.0,114.0
Shanghai Street near Wing Sing Lane,"Shanghai Street,  Outside Yau Ma Tei Community Centre Rest Garden",380.0,114.0,380.0,114.0
"Shanghai Street,  Outside Yau Ma Tei Community Centre Rest Garden",Shanghai Street near Ning Po Street,380.0,114.0,380.0,114.0
Shanghai Street near Ning Po Street,West Kowloon Station,380.0,114.0,380.0,114.0
West Kowloon Station,Kwun Chung Market in Canton Road,380.0,114.0,380.0,114.0
Kwun Chung Market in Canton Road,Victoria Tower in Canton Road,380.0,114.0,380.0,114.0
Victoria Tower in Canton Road,Lippo Sun Plaza in Canton Road,380.0,114.0,380.0,114.0
Lippo Sun Plaza in Canton Road,"Canton Road,  Opposite Marco Polo Hong Kong Hotel",380.0,114.0,380.0,114.0
"Canton Road,  Opposite Marco Polo Hong Kong Hotel","Ashley Road,  Outside Hankow Centre",380.0,114.0,380.0,114.0
"Holly Road,  Opposite Blue Pool Court","Sing Woo Road,  Outside Happy Valley Police Station",190.0,142.5,142.5,114.0
"Sing Woo Road,  Outside Happy Valley Police Station",Village Road No. 46,190.0,142.5,142.5,114.0
Village Road No. 46,Yik Yam Street No. 46,190.0,142.5,142.5,114.0
Yik Yam Street No. 46,Tsoi Tak Street,190.0,142.5,142.5,114.0
Tsoi Tak Street,Ventris Road outside ST Paul^s Secondary School,190.0,142.5,142.5,114.0
Ventris Road outside ST Paul^s Secondary School,Link Road near Leighton Hill,190.0,142.5,142.5,114.0
Link Road near Leighton Hill,Lan Fong Road No. 2,190.0,142.5,142.5,114.0
Lan Fong Road No. 2,"Lee Garden Road,  Opposite Po Foo Building",190.0,142.5,142.5,114.0
"Lee Garden Road,  Opposite Po Foo Building",Leighton Road No. 28-30,190.0,142.5,142.5,114.0
Leighton Road No. 28-30,Wong Nai Chung Road near Broadwood Road,190.0,142.5,142.5,114.0
Wong Nai Chung Road near Broadwood Road,Sing Wo Road near Yik Yam Street,190.0,142.5,142.5,114.0
Sing Wo Road near Yik Yam Street,"Sing Woo Road,  opposite Happy Valley Police Station",190.0,142.5,142.5,114.0
"Sing Woo Road,  opposite Happy Valley Police Station","Holly Road,  Opposite Blue Pool Court",190.0,142.5,142.5,114.0
"Hoi Shing Road,  Outside Tsuen Wan Plaza",Tai Ho Road No.30,76.0,57.0,76.0,57.0
Tai Ho Road No.30,No.291 Castle Peak Road-Tsuen Wan,76.0,57.0,76.0,57.0
No.291 Castle Peak Road-Tsuen Wan,"Sai Lau Kok Road,  Opposite Nam Fung Centre",76.0,57.0,76.0,57.0
"Sai Lau Kok Road,  Opposite Nam Fung Centre",TCL Tower,76.0,57.0,76.0,57.0
TCL Tower,Po On Commercial Association Wong Siu Ching Secondary School,76.0,57.0,76.0,57.0
Po On Commercial Association Wong Siu Ching Secondary School,"Hoi Shing Road,  Outside Tsuen Wan Plaza",76.0,57.0,76.0,57.0
"Lung Tang Road,  Outside Hong Kong Garden Carpark A","Castle Peak Road-Tsing Lung Tau,  Outside Lung Tang Court",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsing Lung Tau,  Outside Lung Tang Court","Castle Peak Road-Tsing Lung Tau,  Outside Sea Crest Villa Phase 3",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsing Lung Tau,  Outside Sea Crest Villa Phase 3","Castle Peak Road-Sham Tseng,  Near Sea Crest Villa Phase I",228.0,38.0,228.0,38.0
"Castle Peak Road-Sham Tseng,  Near Sea Crest Villa Phase I","Castle Peak Road-Sham Tseng,  Outside Chan Kee Commercial Centre",228.0,38.0,228.0,38.0
"Castle Peak Road-Sham Tseng,  Outside Chan Kee Commercial Centre","Castle Peak Road-Sham Tseng,  Outside Rhine Garden",228.0,38.0,228.0,38.0
"Castle Peak Road-Sham Tseng,  Outside Rhine Garden","Hoi Mei Beach,  Castle Peak Road - Ting Kau",228.0,38.0,228.0,38.0
"Hoi Mei Beach,  Castle Peak Road - Ting Kau","Castle Peak Road-Ting Kau,  Opposite Ting Kau Villa",228.0,38.0,228.0,38.0
"Castle Peak Road-Ting Kau,  Opposite Ting Kau Villa","Opposite Anton Villa,  Castle Peak Road - Ting Kau",228.0,38.0,228.0,38.0
"Opposite Anton Villa,  Castle Peak Road - Ting Kau","Greenview Terrace,  Castle Peak Road - Ting Kau",228.0,38.0,228.0,38.0
"Greenview Terrace,  Castle Peak Road - Ting Kau","Castle Peak Road-Tsuen Wan,  Outside Tsuen Wan Government Primary School",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsuen Wan,  Outside Tsuen Wan Government Primary School","Castle Peak Road-Tsuen Wan,  Outside The Panorama",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsuen Wan,  Outside The Panorama",Fuk Loi Estate,228.0,38.0,228.0,38.0
Fuk Loi Estate,No.125 Sha Tsui Road,228.0,38.0,228.0,38.0
No.125 Sha Tsui Road,"Sha Tsui Road,  Outside Fook Chi Lau,  Moon Lok Dai Ha",228.0,38.0,228.0,38.0
"Sha Tsui Road,  Outside Fook Chi Lau,  Moon Lok Dai Ha","Sha Tsui Road,  Outside Lady Trench Polyclinic",228.0,38.0,228.0,38.0
"Sha Tsui Road,  Outside Lady Trench Polyclinic",No.271 Sha Tsui Road,228.0,38.0,228.0,38.0
No.271 Sha Tsui Road,"Sha Tsui Road,  Opposite No.364",228.0,38.0,228.0,38.0
"Sha Tsui Road,  Opposite No.364","Texaco Road,  Outside East Asia Garden",228.0,38.0,228.0,38.0
"Texaco Road,  Outside East Asia Garden","Tai Wo Hau Station,  Exit B",228.0,38.0,228.0,38.0
"Tai Wo Hau Station,  Exit B","Castle Peak Road-Kwai Chung,  Opposite No.659",228.0,38.0,228.0,38.0
"Castle Peak Road-Kwai Chung,  Opposite No.659",No.570 Castle Peak Road-Kwai Chung,228.0,38.0,228.0,38.0
No.570 Castle Peak Road-Kwai Chung,"Kwai Chung Road,  Outside Hover Industrial Building",228.0,38.0,228.0,38.0
"Kwai Chung Road,  Outside Hover Industrial Building","Kwai Chung Road,  Near Lamp Post No.fa6062",228.0,38.0,228.0,38.0
"Kwai Chung Road,  Near Lamp Post No.fa6062","Kwai Foo Road,  Outside Kwai Chung Plaza",228.0,38.0,228.0,38.0
"Kwai Foo Road,  Outside Kwai Chung Plaza","Hing Fong Road,  Outside King Po Mansion",228.0,38.0,228.0,38.0
"Hing Fong Road,  Outside King Po Mansion",No.659 Castle Peak Road-Kwai Chung,228.0,38.0,228.0,38.0
No.659 Castle Peak Road-Kwai Chung,"Castle Peak Road-Kwai Chung,  Outside Tai Wo Hau Indoor Recreation Centre",390.8571429,152.0,390.8571429,152.0
"Castle Peak Road-Kwai Chung,  Outside Tai Wo Hau Indoor Recreation Centre","Kwan Mun Hau Street,  Outside Kowloon Panda Hotel",390.8571429,152.0,390.8571429,152.0
"Kwan Mun Hau Street,  Outside Kowloon Panda Hotel","Sha Tsui Road,  Outside Bo Shek Mansion",228.0,38.0,228.0,38.0
"Sha Tsui Road,  Outside Bo Shek Mansion",No.274 Sha Tsui Road,228.0,38.0,228.0,38.0
No.274 Sha Tsui Road,"Sha Tsui Road,  Outside Union Building",228.0,38.0,228.0,38.0
"Sha Tsui Road,  Outside Union Building",No.62 Sha Tsui Road,228.0,38.0,228.0,38.0
No.62 Sha Tsui Road,No.8-14 Sha Tsui Road,418.0,152.0,418.0,152.0
No.8-14 Sha Tsui Road,"Castle Peak Road-Tsuen Wan,  Outside Chai Wan Kok Transformer Station",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsuen Wan,  Outside Chai Wan Kok Transformer Station","Castle Peak Road-Tsuen Wan,  Outside Belvedere Garden Phase III",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsuen Wan,  Outside Belvedere Garden Phase III","Opposite Greenview Terrace,  Hoi On Road",228.0,38.0,228.0,38.0
"Opposite Greenview Terrace,  Hoi On Road","Long Beach Gardens,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Long Beach Gardens,  Castle Peak Road - Ting Kau","Villa Cote D^azur,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Villa Cote D^azur,  Castle Peak Road - Ting Kau","Ting Kau Villa,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Ting Kau Villa,  Castle Peak Road - Ting Kau","Royal View Hotel,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
