route_id,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
2150_1,45.6,45.6,19,19
2150_2,45.6,45.6,19,19
2001012_1,87.69230769,76,87.69230769,76
2001012_2,87.69230769,76,87.69230769,76
2001741_1,142.5,114,142.5,114
2001741_2,142.5,114,142.5,114
2001723_1,114,95,114,95
2001723_2,114,95,114,95
2001740_1,63.33333333,38,63.33333333,38
2001740_2,63.33333333,38,63.33333333,38
2001636_1,87.69230769,87.69230769,87.69230769,87.69230769
2001636_2,87.69230769,87.69230769,87.69230769,87.69230769
2002250_1,228,76,228,76
2002250_2,228,76,228,76
2000976_1,285,76,285,76
2000976_2,285,76,285,76
2500040_1,76,57,76,57
2500040_2,76,57,76,57
2245_1,570,142.5,570,142.5
2245_2,570,142.5,570,142.5
2500030_1,76,38,76,38
2500030_2,76,38,76,38
203999_1,570,126.6666667,570,126.6666667
203999_2,570,126.6666667,570,126.6666667
2916_1,76,57,76,57
2916_2,76,57,76,57
2002217_1,76,76,76,76
2002217_2,76,76,76,76
2500029_1,114,38,38,38
2500029_2,114,38,38,38
2500031_1,114,57,114,57
2500031_2,114,57,114,57
2248_1,190,162.8571429,190,162.8571429
2248_2,190,162.8571429,190,162.8571429
2053_1,142.5,76,95,76
2053_2,142.5,76,95,76
2762_1,114,114,114,114
2762_2,114,114,114,114
2154_1,380,114,190,76
2154_2,380,114,190,76
2249_1,285,38,285,38
2249_2,285,38,285,38
2433_1,87.69230769,38,76,38
2433_2,87.69230769,38,76,38
2250_1,228,76,228,76
2250_2,228,76,228,76
2155_1,95,76,95,76
2155_2,95,76,95,76
2004068_1,380,114,380,114
2004068_2,380,114,380,114
2251_1,142.5,76,142.5,76
2251_2,142.5,76,142.5,76
2004074_1,114,57,114,57
2004074_2,114,57,114,57
2604_1,76,57,76,57
2604_2,76,57,76,57
2723_1,285,142.5,285,142.5
2723_2,285,142.5,285,142.5
2373_1,190,76,142.5,76
2373_2,190,76,142.5,76
2374_1,76,57,76,45.6
2374_2,76,57,76,45.6
2631_1,76,38,76,38
2631_2,76,38,76,38
2055_1,380,114,380,114
2055_2,380,114,380,114
2253_1,76,57,76,57
2253_2,76,57,76,57
2000989_1,380,162.8571429,190,162.8571429
2000989_2,380,162.8571429,190,162.8571429
2254_1,38,38,38,38
2254_2,38,38,38,38
2208_1,142.5,57,142.5,45.6
2208_2,142.5,57,142.5,45.6
2008_1,228,142.5,228,114
2008_2,228,142.5,228,114
2009_1,285,228,285,228
2009_2,285,228,285,228
2815_1,114,57,57,57
2815_2,114,57,57,57
2010_1,142.5,142.5,142.5,142.5
2010_2,142.5,142.5,142.5,142.5
2816_1,76,38,76,38
2816_2,76,38,76,38
2000990_1,570,285,380,285
2000990_2,570,285,380,285
2001063_1,114,114,114,114
2001063_2,114,114,114,114
2001128_1,38,38,38,38
2001128_2,38,38,38,38
2001955_1,142.5,76,95,76
2001955_2,142.5,76,95,76
2606_1,114,76,114,76
2606_2,114,76,114,76
2255_1,380,45.6,380,45.6
2255_2,380,45.6,380,45.6
2002813_1,285,95,285,95
2002813_2,285,95,285,95
2002812_1,162.8571429,95,162.8571429,95
2002812_2,162.8571429,95,162.8571429,95
2848_1,57,28.5,57,28.5
2848_2,57,28.5,57,28.5
2727_1,114,76,114,76
2727_2,114,76,114,76
2159_1,1140,285,380,285
2159_2,1140,285,380,285
2002811_1,285,76,285,76
2002811_2,285,76,285,76
2160_1,228,95,228,95
2160_2,228,95,228,95
2888_1,380,380,380,380
2888_2,380,380,380,380
2607_1,142.5,57,76,45.6
2607_2,142.5,57,76,45.6
2258_1,285,114,285,114
2258_2,285,114,285,114
2161_1,285,142.5,142.5,142.5
2161_2,285,142.5,142.5,142.5
2608_1,142.5,114,142.5,114
2608_2,142.5,114,142.5,114
2889_1,76,57,76,57
2889_2,76,57,76,57
2261_1,114,57,114,57
2261_2,114,57,114,57
2722_1,126.6666667,126.6666667,126.6666667,126.6666667
