stop_u,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
Kwun Tong Road near Sheung Yee Road flyover,855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.AB1799",855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.CF1683",855.0,703.0,513.0,190.0
"Lung Cheung Road,  Outside Hung Ngok House,  Choi Hung Estate",1124.1666667,874.0,782.1666667,342.0
No.222 Choi Hung Road,760.0,627.0,418.0,133.0
Tai Yau Street No.31,902.5,722.0,560.5,209.0
"Prince Edward Road East,  Near Lamp Post No.khm33",760.0,627.0,418.0,133.0
"Kwun Tong Road,  Outside St. Joseph^s Anglo-chinese Primary School",1140.0,893.0,703.0,380.0
"Kwun Tong Road,  Opposite to Telford Gardens",855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.AB1737",855.0,703.0,513.0,190.0
No.275 Kwun Tong Road,855.0,703.0,513.0,190.0
No.315 Kwun Tong Road,855.0,703.0,513.0,190.0
Kwun Tong Road outside Ngau Tau Kok Station,855.0,703.0,513.0,190.0
No.371 Kwun Tong Road,855.0,703.0,513.0,190.0
"Kwun Tong Road,  Near Lamp Post No.AA0643",855.0,703.0,513.0,190.0
"Tseung Kwan O Road,  Outside Kwun Tong Police Station",855.0,703.0,513.0,190.0
"Ngan O Road,  Outside Yuk Ming Court",95.0,76.0,95.0,57.0
"Prince Edward Road East,  Near Lamp Post No.KHM33",95.0,76.0,95.0,57.0
Clear Water Bay Second Beach GMB Stand,276.8571429,114.0,276.8571429,114.0
Clear Water Bay Apartments,276.8571429,114.0,276.8571429,114.0
"Tai Au Mun Road,  Near Tai Wan Tau Road",114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Near Sheung Sze Wan Road",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Near Ha Yeung Road",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Opposite Sheung Yeung",114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Near High Junk Peak Country Trail",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Outside Wat Sum Village",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Opposite Silverstand Mart",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Opposite Sussex Lodge",114.0,57.0,114.0,57.0
"Hang Hau Road,  Opposite Tseung Kwan O Hospital",114.0,57.0,114.0,57.0
"Kwun Tong Road,  Outside New City Centre",228.0,114.0,228.0,114.0
Hoi Yuen Raod No. 62,114.0,57.0,114.0,57.0
No.54 Hoi Yuen Road,114.0,57.0,114.0,57.0
Kwun Tong Ferry Pier Light Bus Terminus,114.0,57.0,114.0,57.0
No.57 King Yip Street,114.0,57.0,114.0,57.0
"Tseung Kwan O Road,  Outside Kwun Tong Recreation Ground",646.0,354.6666667,646.0,354.6666667
"Po Ning Road,  Opposite Hau Tak Estate",608.0,351.5,608.0,285.0
"Hang Hau Road,  Outside Tseung Kwan O Hospital",276.8571429,114.0,276.8571429,114.0
Clear Water Bay Road No. 328,114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Outside Golden Cove Lookout Phase I",114.0,57.0,114.0,57.0
"Clear Water Bay Road Southbound,  Near Mang Kung Uk Road",114.0,57.0,114.0,57.0
Tseung Kwan O Station Public Transport Interchange,352.8571429,133.0,352.8571429,133.0
"Tong Yin Street,  Outside Pkl Wong Wing Shu Primary School",162.8571429,57.0,162.8571429,57.0
"Tong Ming Street,  Outside Sheung Ming House,  Sheung Tak Estate",352.8571429,199.5,352.8571429,133.0
"Chiu Shun Road,  Outside Yuk Ming Court",542.8571429,285.0,542.8571429,102.6
"Chiu Shun Road,  outside Tin Ha Wan Village",162.8571429,57.0,162.8571429,57.0
Po Yap Road outside Bauhinia Garden,162.8571429,57.0,162.8571429,57.0
Hong Kong University of Science and Technology (South Station),543.69230769,155.8,501.6,144.4
"TVB City,  Outside Shaw House",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Opposite Pik Uk Correctional Institute",1056.69230769,592.8,1014.6,581.4000000000001
"Clear Water Bay Road,  Opposite Gold Villa",486.69230769,418.0,444.6,406.6
No.75b Clear Water Bay Road,87.69230769,57.0,45.6,45.6
No.206 Clear Water Bay Road,87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Near Lung Wo Tsuen",87.69230769,57.0,45.6,45.6
"Shun Lee Tsuen Road,  Outside Lee Hong House,  Shun Lee Estate",410.69230769,285.0,368.6,273.6
"Shun Lee Tsuen Road,  Outside On Chung House,  Shun On Estate",315.69230769,209.0,273.6,197.6
"Ngau Tau Kok Road,  Outside Block 2,  Yue Man Centre",277.69230769,199.5,235.6,188.1
"Hong Ning Road,  Outside Hong Ning Court",391.69230769,275.5,349.6,264.1
"Hong Ning Road,  Outside Kwun Tong Peace Clinic",87.69230769,57.0,45.6,45.6
"Hong Ning Road,  Opposite Sau Mau Ping District Police Headquarter And Divisional Police Station",942.69230769,484.5,900.6,473.1
"Shun Lee Tsuen Road,  Opposite Carmel Leung Sing Tak School",201.69230769,133.0,159.6,121.6
"Shun Lee Tsuen Road,  Outside Shun Lee Tsuen Leisure Centre",201.69230769,133.0,159.6,121.6
"Clear Water Bay Road,  Outside Man King Terrace",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Outside Gold Villa",486.69230769,418.0,444.6,406.6
"Clear Water Bay Road,  Outside Pik Uk Correctional Institute",486.69230769,418.0,444.6,406.6
"Clear Water Bay Road,  Outside Las Pinadas",486.69230769,418.0,444.6,406.6
"Clear Water Bay Road,  Opposite Tai Po Tsai Tsuen",467.69230769,199.5,208.4571429,172.2666667
416 Ma Tau Wai Road,114.0,114.0,0.0,0.0
"Po Lam Road North,  Po Lam Fire Station",57.0,57.0,0.0,0.0
"Hong Sing Garden Bus Terminus,  Outside King Ling College",608.0,346.13043478,494.0,232.13043478
Po Lam Road North opposite Ming On House of Ying Ming Court,57.0,57.0,0.0,0.0
"Po Lam Road North,  Outside Hong Sing Garden",484.5,323.0,427.5,228.0
"Ma Tau Wai Road,  Outside Ma Tau Wai Road Playground",304.0,228.0,190.0,114.0
"Po Lam Road North,  Outside Yuk King House,  King Ming Court",456.0,304.0,399.0,209.0
No.65 Ma Tau Chung Road,114.0,114.0,0.0,0.0
Po Fung Road outside Yan Ming Court,57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside Argyle Street Playground",171.0,171.0,57.0,57.0
"Po Lam Road North,  opposite to Po Yan House",285.0,209.0,228.0,152.0
Po Fung Road outside Verbena Heights,57.0,57.0,0.0,0.0
"Prince Edward Road East,  Opposite Kai Tak Government Building",684.0,304.0,285.0,190.0
"Po Lam Road North,  Opposite Lok Sin Tong Lau Tak Primary School",456.0,304.0,399.0,209.0
Po Hong Road outside Metro City,114.0,114.0,0.0,0.0
"Po Fung Road,  outside STFA Leung Kit Wah Primary School",114.0,114.0,0.0,0.0
"Po Hong Road,  Outside Po Hong Park",171.0,171.0,0.0,0.0
"Prince Edward Road East,  outside the Latitude",304.0,209.0,190.0,95.0
Po Hong Road near Mobil Petrol Station,114.0,114.0,0.0,0.0
Prince Edward Road East Opposite Rhythm Garden,665.0,342.0,304.0,133.0
