stop_u,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
Fo Chun Road lay-by near Lamp Post DE2431,361.0,221.66666665999998,304.0,221.66666665999998
Chong San Road southbound bus lay-by near L/P BE 2989,95.0,57.0,76.0,57.0
Fo Yin Road near Lamp Post BE3114,285.0,171.0,228.0,171.0
Chong San Road southbound bus lay-by near Lamp Post BE 3003,95.0,57.0,76.0,57.0
Chong San Road southbound bus lay-by near Lamp Post BE 3012,95.0,57.0,76.0,57.0
Chong San Road northbound bus lay-by near Lamp Post BE 3011,190.0,114.0,152.0,114.0
Chong San Road northbound bus lay-by near Lamp Post BE 3002,190.0,114.0,152.0,114.0
Chong San Road northbound bus lay-by near L/P BE 2989,190.0,114.0,152.0,114.0
Fo Chun Road outside Providence Bay Phase 2,228.0,139.33333333000002,190.0,139.33333333000002
"Maidstaone Road,  North Of Lok Shan Road",57.0,38.0,57.0,38.0
"Ko Shan Road,  Near Church Of Good Shepherd",57.0,38.0,57.0,38.0
"Ko Shan Road,  Opposite Ko Shan Theatre",114.0,70.57142857,114.0,70.57142857
"Shun Yung Street,  Outside The Evergreen",57.0,38.0,57.0,38.0
"Fat Kwong Street,  Outside Valley Road Estate Redevelopment Hos Project",57.0,38.0,57.0,38.0
"Fat Kwong Street,  Outside The Open University Of Hk",57.0,38.0,57.0,38.0
Pui Ching Road At Bus Bay Outside Pui Ching School,437.0,266.0,323.0,266.0
No.19a Soares Avenue,437.0,266.0,323.0,266.0
"Nelson Street,  Outside Macpherson Playground",285.0,114.0,285.0,114.0
"Luen Wan Street,  Mong Kok Rail Station",171.0,133.0,171.0,133.0
No.75 Sai Yee Street,57.0,38.0,57.0,38.0
"Sai Yee Street,  Outside Hung Tak Building",114.0,76.0,114.0,76.0
"Sai Yee Street,  Outside Kin Wong Mansion",513.0,190.0,513.0,190.0
"Sai Yee Street,  Outside Sunningdale",114.0,76.0,114.0,76.0
"Prince Edward Road West,  Outside Bijou Court",779.0,285.0,446.5,247.0
"Fife Street,  Outside Yau Shing Building",114.0,76.0,114.0,76.0
"Waterloo Road,  Outside Man Kee Mansion",266.0,190.0,247.0,190.0
Pui Ching Road At Bus Bay Near Kowloon Public Library,437.0,266.0,323.0,266.0
"Fat Kwong Street,  Opposite The Open University Of Hk",57.0,38.0,57.0,38.0
"Fat Kwong Street,  Outside Nga Man House,  Ho Man Tin Estate",199.5,152.0,199.5,152.0
"Fat Kwong Street,  Outside Ko Fai House,  Kwun Fai Court",57.0,38.0,57.0,38.0
"Shun Yung Street,  Outside Custom & Excise Service Married Quarters",57.0,38.0,57.0,38.0
"Kau Pui Lung Road,  Near Lok Seen Lau,  Lok Man Sun Chuen",57.0,38.0,57.0,38.0
"Baguio Villa (Upper),  Outside Block 24",247.0,228.0,304.0,304.0
Sun Wui Road,57.0,57.0,76.0,76.0
No.385 Queen^s Road East,57.0,57.0,76.0,76.0
"Sassoon Road,  Near Northcote Close",190.0,171.0,228.0,228.0
"PokFuLam Road,  near Pok Field Road",190.0,171.0,228.0,228.0
"Kennedy Road,  near Queen^s Road East",57.0,57.0,76.0,76.0
"PokFuLam Road,  outside outside Block^s 3 of Belcher^s",190.0,171.0,228.0,228.0
No. 130 Kennedy Road,57.0,57.0,76.0,76.0
"Bonham Road,  Layby Outside David Trench Rehabilitation Centre",190.0,171.0,228.0,228.0
No. 80 Kennedy Road,57.0,57.0,76.0,76.0
"Bonham Road,  bus bay opposite to 80 Robinson Road",190.0,171.0,228.0,228.0
"Kennedy Road,  opposite to Hopewell Centre",57.0,57.0,76.0,76.0
"Caine Road,  Eastbound Bus Bay Opposite House No.144",190.0,171.0,228.0,228.0
No. 50 Kennedy Road,57.0,57.0,76.0,76.0
No.119-125 Caine Road,361.0,285.0,380.0,342.0
No. 48 Kennedy Road,57.0,57.0,76.0,76.0
"Kennedy Road,  The Hong Kong Electric Centre",57.0,57.0,76.0,76.0
No.79 Caine Road,361.0,285.0,380.0,342.0
"Kennedy Road,  near Borrett Road",57.0,57.0,76.0,76.0
No. 42 Kennedy Road,133.0,133.0,152.0,152.0
No. 32 Kennedy Road,57.0,57.0,76.0,76.0
"Kennedy Road,  near Tramway Path",57.0,57.0,76.0,76.0
Caine Road,57.0,57.0,76.0,76.0
No.1Kennedy Road,190.0,171.0,228.0,228.0
"Pok Fu Lam Road,  West Of University Of Hong Kong Access Road",57.0,57.0,76.0,76.0
Opposite to No.32A Kennedy Road,190.0,171.0,228.0,228.0
Pok Fu Lam Road opposite The Belcher^s,57.0,57.0,76.0,76.0
Opposite to No. 42 Kennedy Road,190.0,171.0,228.0,228.0
"Kennedy Road,  Opposite to Roberts Block,  Mother^s Choice",190.0,171.0,228.0,228.0
Baguio Villa (Lower),57.0,57.0,76.0,76.0
No. 9A Kennedy Road,190.0,171.0,228.0,228.0
Opposite Baguio Villa Block 24,171.0,133.0,190.0,152.0
Kennedy Road Lamp Post No. 22424,190.0,171.0,228.0,228.0
"Kennedy Road,  near Monmouth Terrace",190.0,171.0,228.0,228.0
"Kennedy Road,  outside St. Francis^ Cannossian College",190.0,171.0,228.0,228.0
"Kennedy Road,  outside Hopewell Centre",190.0,171.0,228.0,228.0
"Kennedy Road,  near Fung Wong Terrace",190.0,171.0,228.0,228.0
"Kennedy Road,  layby opposite to St. Jame^s Primary School",190.0,171.0,228.0,228.0
"Queen^s road East,  layby outside St. Joseph^s College",190.0,171.0,228.0,228.0
"Queen^s Road East,  Outside Queen Elizabeth Stadium",190.0,171.0,228.0,228.0
"Chater Road,  Near Jackson Road",57.0,57.0,76.0,76.0
"Chater Road,  Outside Ritz Carlton Hotel",57.0,57.0,76.0,76.0
"Murray Road,  outside Murray Road multi-story car park",57.0,57.0,76.0,76.0
"Wan Tau Street, Tai Po Complex",190.0,126.6666667,190.0,126.6666667
Nam Shing Street GMB Stand,190.0,126.6666667,190.0,126.6666667
Care Village/Wong Yi Au,190.0,126.6666667,190.0,126.6666667
Villa Castell / Villa Costa,418.0,278.66666673,418.0,278.66666673
Deerhill Bay,190.0,126.6666667,190.0,126.6666667
Cheung Shue Tan,380.0,253.3333334,380.0,253.3333334
"Royal Ascot,  Fo Tan",456.0,304.00000006,456.0,304.00000006
"Tam Kon Po Street,  Outside Sha Tin Town Hall",636.5,380.00000003,636.5,368.60000003
Royal Park Hotel,228.0,152.00000003,228.0,152.00000003
"Sha Tin Centre Street,  Outside Hilton Plaza",190.0,126.6666667,190.0,126.6666667
Lucky Plaza,228.0,152.00000003,228.0,152.00000003
Bus lay-by at Lok Shun Path roundabout,627.0,551.00000003,627.0,551.00000003
Chung Chi College,228.0,152.00000003,228.0,152.00000003
Care Village / Wong Yi Au,190.0,126.6666667,190.0,126.6666667
Tai Po Road westbound bus lay-by opposite Kwong Fuk Estate,190.0,126.6666667,190.0,126.6666667
Wong Shiu Chi Secondary School,190.0,126.6666667,190.0,126.6666667
"Wan Tau Street,  Heung To College of Professional Studies",190.0,126.6666667,190.0,126.6666667
"Wai King Street,  Outside Block A,  Wei Chien Court",285.0,108.57142857,171.0,108.57142857
"To Kwa Wan Road,  Outside The Hong Kong China Gas Company Limited",228.0,76.0,114.0,76.0
Jubilant Place,228.0,76.0,114.0,76.0
Ma Hang Chung Road,285.0,108.57142857,171.0,108.57142857
Sheung Shing Street near Sheung Lok Street,228.0,76.0,114.0,76.0
"Sheung Shing Street,  St. Teresa Secondary School",513.0,184.57142857,285.0,184.57142857
No.98 Argyle Street,380.0,228.0,266.0,228.0
Reclamation Street near Argyle,456.0,190.0,342.0,190.0
"Fife Street,  Outside Hung On House",228.0,76.0,114.0,76.0
"Argyle Street,  Glen Haven",380.0,171.0,266.0,171.0
"Waterloo Road,  Man Kee Mansion",228.0,76.0,114.0,76.0
"Sheung Shing Street,  Sheung Lok Estate",285.0,108.57142857,171.0,108.57142857
"Sheung Keung Road,  Pau Chung Street",285.0,108.57142857,171.0,108.57142857
"Sheung Heung Road,  Cheung Ning Street",285.0,108.57142857,171.0,108.57142857
"To Kwa Wan Road,  New Lee Wah Centre",285.0,108.57142857,171.0,108.57142857
"San Ma Tau Road,  Kapok Industrial Building",285.0,108.57142857,171.0,108.57142857
"Ma Tau Kok Road,  Jubilant Place",57.0,32.57142857,57.0,32.57142857
"Tin Kwong Road,  Hillville Terrace",57.0,32.57142857,57.0,32.57142857
"Maidstaone Road,  Lok Shan Road",57.0,32.57142857,57.0,32.57142857
"Lok Man Sun Chuen,  Lok Kei House",57.0,32.57142857,57.0,32.57142857
"Lok Man Sun Chuen,  Lok Oi House",57.0,32.57142857,57.0,32.57142857
"Shun Yung Street,  The Evergreen",57.0,32.57142857,57.0,32.57142857
"Fat Kwong Street,  Yan Fung Street",57.0,32.57142857,57.0,32.57142857
Ho Man Tin Station,1225.5,581.84415577,959.5,602.5714285700001
"Fat Kwong Street,  Housing Authority Headquarters",57.0,32.57142857,57.0,32.57142857
Homantin Plaza,570.0,272.41558434,494.0,293.14285714
Ho Man Tin Estate Public Transport Interchange,285.0,136.20779217,247.0,146.57142857
"Fat Kwong Street,  The Open University Of Hong Kong",57.0,32.57142857,57.0,32.57142857
"Ma Tau Wai Road,  Ma Hang Chung Road",57.0,32.57142857,57.0,32.57142857
"Sha Tin Central Street,  Outside Hilton Plaza",38.0,25.33333333,38.0,25.33333333
Ap Lei Chau Bridge Road outside Ap Lei Chau Estate Bus Terminus,133.0,83.6,95.0,83.6
"Ap Lei Chau Bridge Road,  near Lee Chi Road (Outside Manly House)",82.33333333,70.93333333,82.33333333,70.93333333
"Ap Lei Chau Bridge Road,  near Ap Lei Chau Drive",57.0,45.6,57.0,45.6
Aberdeen Technical School,57.0,45.6,57.0,45.6
Wong Chuk Hang Station,418.0,281.2,304.0,281.2
"Shum Wan Road Public Transport Terminus,  Outside Block 1,  Broadview Court",57.0,45.6,57.0,45.6
"Nam Long Shan Road,  Outside Nam Long Shan Road Cooked Food Market",139.33333333000002,127.93333333,139.33333333000002,127.93333333
"Wong Chuk Hang Road,  outside House No. 16,  Victory Factory Buiding",57.0,45.6,57.0,45.6
"Ap Lei Chau Estate,  Outside Ap Lei Chau Estate Market",25.33333333,25.33333333,25.33333333,25.33333333
"San Shi Street,  Outside Ap Lei Chau Baptist Kindergarten",50.66666666,50.66666666,50.66666666,50.66666666
Wai Fung Street,25.33333333,25.33333333,25.33333333,25.33333333
"Wong Chuk Hang Road,  outside House No. 49-51,  near Fire Station",25.33333333,25.33333333,25.33333333,25.33333333
"Police School Road,  near Singapore International School",25.33333333,25.33333333,25.33333333,25.33333333
Shum Wan Road (Tai Shue Wan),25.33333333,25.33333333,25.33333333,25.33333333
"Shum Wan Road,  opposite to Shum Wan Road Public Transport Terminus",25.33333333,25.33333333,25.33333333,25.33333333
Heung Yip Road,25.33333333,25.33333333,25.33333333,25.33333333
"Suffolk Road,  Kowloon Tong Public Transport Interchange",390.8571429,190.0,314.8571429,190.0
No.322 Junction Road,162.8571429,76.0,162.8571429,76.0
"Junction Road,  Outside Kowloon International Baptist Church",162.8571429,76.0,162.8571429,76.0
"Broadcast Drive,  Outside Block B,  Peninsula Height",162.8571429,76.0,162.8571429,76.0
"Junction Road,  Opposite Kam Shing Road Recreation Ground",495.3571429,297.6666667,495.3571429,297.6666667
"Kowloon Tong Station,  opposite Kent Road exit",325.7142858,152.0,325.7142858,152.0
"No.3 Suffolk RoadSuffolk Road,  Kowloon Tong Public Transport Interchange",162.8571429,76.0,162.8571429,76.0
Ede Road,325.7142858,152.0,325.7142858,152.0
"Beacon Hill Road,  Outside Elizabethan Court",162.8571429,76.0,162.8571429,76.0
Tai Wan Road opposite Laguna Verde,114.0,76.0,114.0,76.0
Tai Wan Road opposite Fisherman^s Wharf,114.0,76.0,114.0,76.0
Hung Hum Road outside House no. 18,114.0,76.0,114.0,76.0
Bailey Street outside Sunshire Plaza,114.0,76.0,114.0,76.0
"Tai Hang Tung Road,  Nam Lok House",114.0,76.0,114.0,76.0
"Tat Chi Avenue,  Village Garden",114.0,76.0,114.0,76.0
"Bailey Street outside House no,  23",114.0,76.0,114.0,76.0
Hung Hum Road outside Guardforce Centre,114.0,76.0,114.0,76.0
"Robinson Road,  Villa Elegance",190.0,114.0,114.0,57.0
11 Conduit Road,190.0,114.0,114.0,57.0
opposite to No.26 Conduit Road,190.0,114.0,114.0,57.0
No.31 Conduit Road,190.0,114.0,114.0,57.0
No.51 Conduit Road,190.0,114.0,114.0,57.0
"Conduit Road,  Near Kotewall Road",190.0,114.0,114.0,57.0
Kotewall Road No.15,190.0,114.0,114.0,57.0
"Near Po Shan Mansions,  Po Shan Road",190.0,114.0,114.0,57.0
"Kotewall Road,  Opposite No.15",190.0,114.0,114.0,57.0
"Kotewall Road,  Near Conduit Road",190.0,114.0,114.0,57.0
"Conduit Road,  Opposite No.51",332.5,190.0,209.0,133.0
No.56 Conduit Road,190.0,114.0,114.0,57.0
No.38 Conduit Road,190.0,114.0,114.0,57.0
No.22 Conduit Road,332.5,190.0,209.0,133.0
"Ashley Road,  Outside Hankow Centre",380.0,114.0,380.0,114.0
Northbound Carriageway Of Canton Road Outside China Ferry Terminal,380.0,114.0,380.0,114.0
"Government Office,  Canton Road",380.0,114.0,380.0,114.0
West Kowloon Station,874.0,323.0,874.0,323.0
"Man Yuen House,  Ferry Street",380.0,114.0,380.0,114.0
China Light Power in Canton Road,380.0,114.0,380.0,114.0
Reclamation Street near Wing Sing Lane,380.0,114.0,380.0,114.0
Reclamation Street near Nelson Street,380.0,114.0,380.0,114.0
No.27 Tong Mi Road,380.0,114.0,380.0,114.0
Fir Street,380.0,114.0,380.0,114.0
Tai Tsun Street near Tai Kok Tsui Road,380.0,114.0,380.0,114.0
Fuk Tsun Street near Walnut Street,380.0,114.0,380.0,114.0
Fuk Tsun Street near Tong Mi Road,380.0,114.0,380.0,114.0
Langham Place in Shanghai Street,380.0,114.0,380.0,114.0
Shanghai Street near Shantung Street,380.0,114.0,380.0,114.0
Shanghai Street near Pitt Street,380.0,114.0,380.0,114.0
Shanghai Street near Man Ming Lane,380.0,114.0,380.0,114.0
Shanghai Street near Wing Sing Lane,380.0,114.0,380.0,114.0
"Shanghai Street,  Outside Yau Ma Tei Community Centre Rest Garden",380.0,114.0,380.0,114.0
Shanghai Street near Ning Po Street,380.0,114.0,380.0,114.0
Kwun Chung Market in Canton Road,380.0,114.0,380.0,114.0
Victoria Tower in Canton Road,380.0,114.0,380.0,114.0
Lippo Sun Plaza in Canton Road,380.0,114.0,380.0,114.0
"Canton Road,  Opposite Marco Polo Hong Kong Hotel",380.0,114.0,380.0,114.0
"Holly Road,  Opposite Blue Pool Court",190.0,142.5,142.5,114.0
"Sing Woo Road,  Outside Happy Valley Police Station",190.0,142.5,142.5,114.0
Village Road No. 46,190.0,142.5,142.5,114.0
Yik Yam Street No. 46,190.0,142.5,142.5,114.0
Tsoi Tak Street,190.0,142.5,142.5,114.0
Ventris Road outside ST Paul^s Secondary School,190.0,142.5,142.5,114.0
Lan Fong Road No. 2,190.0,142.5,142.5,114.0
"Lee Garden Road,  Opposite Po Foo Building",190.0,142.5,142.5,114.0
Leighton Road No. 28-30,190.0,142.5,142.5,114.0
Wong Nai Chung Road near Broadwood Road,190.0,142.5,142.5,114.0
Sing Wo Road near Yik Yam Street,190.0,142.5,142.5,114.0
"Sing Woo Road,  opposite Happy Valley Police Station",190.0,142.5,142.5,114.0
"Hoi Shing Road,  Outside Tsuen Wan Plaza",76.0,57.0,76.0,57.0
Tai Ho Road No.30,684.0,380.0,627.0,368.6
No.291 Castle Peak Road-Tsuen Wan,76.0,57.0,76.0,57.0
"Sai Lau Kok Road,  Opposite Nam Fung Centre",1986.8571428999999,608.0,1967.8571428999999,608.0
TCL Tower,76.0,57.0,76.0,57.0
Po On Commercial Association Wong Siu Ching Secondary School,76.0,57.0,76.0,57.0
"Lung Tang Road,  Outside Hong Kong Garden Carpark A",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsing Lung Tau,  Outside Lung Tang Court",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsing Lung Tau,  Outside Sea Crest Villa Phase 3",608.0,228.0,608.0,228.0
"Castle Peak Road-Sham Tseng,  Near Sea Crest Villa Phase I",228.0,38.0,228.0,38.0
"Castle Peak Road-Sham Tseng,  Outside Chan Kee Commercial Centre",228.0,38.0,228.0,38.0
"Castle Peak Road-Sham Tseng,  Outside Rhine Garden",494.0,228.0,494.0,228.0
"Hoi Mei Beach,  Castle Peak Road - Ting Kau",608.0,228.0,608.0,228.0
"Castle Peak Road-Ting Kau,  Opposite Ting Kau Villa",228.0,38.0,228.0,38.0
"Opposite Anton Villa,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Greenview Terrace,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Castle Peak Road-Tsuen Wan,  Outside Tsuen Wan Government Primary School",608.0,228.0,608.0,228.0
"Castle Peak Road-Tsuen Wan,  Outside The Panorama",228.0,38.0,228.0,38.0
Fuk Loi Estate,228.0,38.0,228.0,38.0
No.125 Sha Tsui Road,418.0,152.0,418.0,152.0
"Sha Tsui Road,  Outside Fook Chi Lau,  Moon Lok Dai Ha",228.0,38.0,228.0,38.0
"Sha Tsui Road,  Outside Lady Trench Polyclinic",598.5,228.0,598.5,235.6
No.271 Sha Tsui Road,228.0,38.0,228.0,38.0
"Sha Tsui Road,  Opposite No.364",228.0,38.0,228.0,38.0
"Texaco Road,  Outside East Asia Garden",494.0,121.6,494.0,121.6
"Tai Wo Hau Station,  Exit B",1654.3571428999999,703.0,1654.3571428999999,725.8000000000001
"Castle Peak Road-Kwai Chung,  Opposite No.659",228.0,38.0,228.0,38.0
No.570 Castle Peak Road-Kwai Chung,390.8571429,152.0,390.8571429,152.0
"Kwai Chung Road,  Outside Hover Industrial Building",674.5,293.6363636,608.0,293.6363636
"Kwai Chung Road,  Near Lamp Post No.fa6062",418.0,141.63636359999998,418.0,141.63636359999998
"Kwai Foo Road,  Outside Kwai Chung Plaza",228.0,38.0,228.0,38.0
"Hing Fong Road,  Outside King Po Mansion",484.5,190.0,418.0,190.0
No.659 Castle Peak Road-Kwai Chung,390.8571429,152.0,390.8571429,152.0
"Castle Peak Road-Kwai Chung,  Outside Tai Wo Hau Indoor Recreation Centre",618.8571429,209.0,618.8571429,209.0
"Kwan Mun Hau Street,  Outside Kowloon Panda Hotel",390.8571429,152.0,390.8571429,152.0
"Sha Tsui Road,  Outside Bo Shek Mansion",902.5,464.6363636,902.5,472.2363636
No.274 Sha Tsui Road,228.0,38.0,228.0,38.0
"Sha Tsui Road,  Outside Union Building",228.0,38.0,228.0,38.0
No.62 Sha Tsui Road,1064.0,323.0,1102.0,323.0
No.8-14 Sha Tsui Road,418.0,152.0,418.0,152.0
"Castle Peak Road-Tsuen Wan,  Outside Chai Wan Kok Transformer Station",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsuen Wan,  Outside Belvedere Garden Phase III",1254.0,399.0,1292.0,399.0
"Opposite Greenview Terrace,  Hoi On Road",304.0,114.0,304.0,114.0
"Long Beach Gardens,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Villa Cote D^azur,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Ting Kau Villa,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Royal View Hotel,  Castle Peak Road - Ting Kau",304.0,114.0,304.0,114.0
"Lido Beach,  Castle Peak Road - Ting Kau",380.0,190.0,380.0,190.0
"Castle Peak Road-Sham Tseng,  Opposite Rhine Garden",760.0,380.0,760.0,380.0
"Castle Peak Road-Sham Tseng,  Outside Lido Garden",684.0,304.0,684.0,304.0
"Castle Peak Road-Tsing Lung Tau,  Opposite Sea Crest Villa Phase 3",228.0,38.0,228.0,38.0
"Castle Peak Road-Tsing Lung Tau,  Opposite Sea Crest Villa Phase 4",608.0,228.0,608.0,228.0
"Tsing King Road,  Opposite Villa Esplanada Shopping Centre",76.0,76.0,76.0,76.0
Lantau Link Visitors Centre,38.0,38.0,38.0,38.0
Sea Crest Villa Phase I,76.0,76.0,76.0,76.0
"Castle Peak Road-Sham Tseng,  Opposite Lido Garden",456.0,266.0,456.0,266.0
"Tsing King Road,  Outside Villa Esplanada Shopping Centre",665.0,456.0,646.0,456.0
"Chak On Road,  Outside Lai Chak House,  Chak On Estate",425.6,298.9333334,399.0,272.3333334
"Nam Cheong Street,  Outside Public Health Laboratory Centre",456.0,329.3333334,456.0,329.3333334
"Woh Chai Street,  Outside Ming Yin College",1121.0,661.8333334,1121.0,661.8333334
"Nam Cheong Street,  Opposite Shek Kip Mei Fire Station",456.0,329.3333334,456.0,329.3333334
"Berwick Street,  Outside Shek Kip Mei Market",931.0,535.1666667,931.0,535.1666667
Tin Wan Public Transport Interchange,285.0,190.0,247.0,190.0
"Wah King House,  Wah King Street",171.0,114.0,152.0,114.0
Opposite Wah Fu (North) Bus Terminus,171.0,114.0,152.0,114.0
"Wah Tai House,  Wah Fu Road",171.0,114.0,152.0,114.0
"Opposite Yu Chun Keung Memorial College No. 2,  Pok Fu Lam Road",171.0,114.0,152.0,114.0
"Pokfulam Skills Centre,  Pok Fu Lam Road",171.0,114.0,152.0,114.0
"Pok Fu Lam Reservoir Road,  Pok Fu Lam Road",456.0,304.0,399.0,304.0
"Opposite Queen Mary Hospital,  Pok Fu Lam Road",171.0,114.0,152.0,114.0
"Opposite Pokfield Road Bus Terminus,  Pok Fu Lam Road",171.0,114.0,152.0,114.0
"The Belcher^s,  Pok Fu Lam Road",171.0,114.0,152.0,114.0
"Yam Pak Building,  Pok Fu Lam Road",171.0,114.0,152.0,114.0
"St. Paul^s College,  Bonham Road",171.0,114.0,152.0,114.0
"University of Hong Kong,  Bonham Road",171.0,114.0,152.0,114.0
"Opposite Ning Yeung Terrace,  Bonham Road",171.0,114.0,152.0,114.0
"Bonham Road,  near Eastern Street",171.0,114.0,152.0,114.0
"High Street,  Bonham Road",171.0,114.0,152.0,114.0
"Hospital Road,  Bonham Road",171.0,114.0,152.0,114.0
No.21-23 Caine Road,171.0,114.0,152.0,114.0
"Admiralty Station,  Queensway",228.0,152.0,190.0,152.0
"Percival Street,  Jaffe Road",171.0,114.0,152.0,114.0
"Caritas House,  Caine Road",285.0,190.0,247.0,190.0
"Lockhart Road,  East of Marsh Road",209.0,152.0,190.0,152.0
"Shelley Street,  Caine Road",285.0,190.0,247.0,190.0
"Opposite The Belcher^s,  Pok Fu Lam Road",285.0,190.0,247.0,190.0
"Opposite Ebenezer School,  Pok Fu Lam Road",285.0,190.0,247.0,190.0
"Yu Chun Keung Memorial College No. 2,  Pok Fu Lam Road",285.0,190.0,247.0,190.0
"Wah Lok House,  Wah Fu Road",285.0,190.0,247.0,190.0
"Pui Ying Secondary School,  Wah Fu Road",285.0,190.0,247.0,190.0
Tin Wan Market,285.0,190.0,247.0,190.0
"Hong King Street,  Outside Lee King Building",190.0,114.0,190.0,114.0
No.244 Castle Peak Road-Yuen Long,190.0,114.0,190.0,114.0
"Castle Peak Road-Ping Shan,  Outside Long Bin Interim Housing",190.0,114.0,190.0,114.0
"Tong Yan San Tsuen Road,  Outside Wai Kwan Primary School",190.0,114.0,190.0,114.0
"Tong Yan San Tsuen Road,  near Jasper Court",190.0,114.0,190.0,114.0
The Eldorado,190.0,114.0,190.0,114.0
Windosr Villa,190.0,114.0,190.0,114.0
"Tong Yan San Tsuen Road,  near Recours La Serre",190.0,114.0,190.0,114.0
Opposite Tong Yan San Tsuen Road No.87,190.0,114.0,190.0,114.0
"Tong Yan San Tsuen Road,  near Tsui Yuen Villa",190.0,114.0,190.0,114.0
Opposite San Hi Tsuen Street Np.19,190.0,114.0,190.0,114.0
"Castle Peak Road-Yuen Long,  Outside Villa by the Park",424.33333333,277.56521739,424.33333333,277.56521739
Sun Yuen Long Plaza Bus Terminus,304.0,190.0,304.0,190.0
"Wo Yi Hop Road,  Outside Lei Muk Shue Estate Redevelopment Project",342.0,202.6666667,342.0,202.6666667
"Wo Yi Hop Road,  Opposite S.k.h. Li Ping Secondary School",228.0,126.6666667,228.0,126.6666667
Opposite Sam Tung Uk Resite Village Tsz Tong,446.5,278.6666667,380.0,278.6666667
Hoi Pa Resite Village,370.5,202.6666667,304.0,202.6666667
"Shek Wai Kok Road,  Opposite Shek Wai Kok Estate Bus Terminus",902.5,476.2666667,855.0,476.2666667
"Shek Wai Kok Road,  Outside Shek Ho House,  Shek Wai Kok Estate",304.0,164.6666667,304.0,164.6666667
No.75 Texaco Road,532.0,287.3030303,532.0,287.3030303
"Tsing Yi Tsing King Road,  Opposite Ching Wang Court",228.0,126.6666667,228.0,126.6666667
"Texaco Road,  Outside Po Yip Building",627.0,259.6666667,627.0,274.8666667
"Shek Wai Kok Road,  Opposite Shek Ho House,  Shek Wai Kok Estate",228.0,126.6666667,228.0,126.6666667
"Shek Wai Kok Road,  Outside Shek Wai Kok Estate Bus Terminus",826.5,400.2666667,779.0,400.2666667
Tung Po To,465.5,259.6666667,399.0,259.6666667
Sam Tung Uk Resite Village Tsz Tong,465.5,259.6666667,399.0,259.6666667
"Wo Yi Hop Road,  Outside Ho Fung College Sponsored By Sik Sik Yuen",1330.0,677.6666667,1121.0,677.6666667
Tsuen Wan (Tak Hoi Street),190.0,103.6363636,190.0,103.6363636
Tai Ho Road No.55,266.0,141.63636359999998,266.0,141.63636359999998
Lady Trench Polyclinic,190.0,103.6363636,190.0,103.6363636
Ham Tin Street,190.0,103.6363636,190.0,103.6363636
Po Yip Building,190.0,103.6363636,190.0,103.6363636
Commercial Centre 1 Tai Wo Hau Estate,418.0,217.63636359999998,418.0,217.63636359999998
"Tai Wo Hau Estate,  Fu On House",674.5,375.96969693,674.5,375.96969693
"Tai Wo Hau Estate,  Fu Kwai House",304.0,198.63636359999998,304.0,198.63636359999998
"Shek Tau Street,  Outside Fu Tai House,  Tai Wo Hau Estate",1121.0,637.93939386,1121.0,637.93939386
"Kwai Chung Estate,  Tsz Kwai House",380.0,207.2727272,380.0,207.2727272
"Wo Tong Tsui Street,  Favor Industrial Centre",304.0,198.63636359999998,304.0,198.63636359999998
"Wo Tong Tsui Street,  Outside Mai Chung Mansion",380.0,274.6363636,380.0,274.6363636
No.109-115 Wo Tong Tsui Street,446.5,255.63636359999998,380.0,255.63636359999998
"Kwai Chung Road,  Outside Fabrico Industrial Building",446.5,255.63636359999998,380.0,255.63636359999998
"Lai King Hill Road,  Opposite Wo King House,  Lai King Estate",883.5,491.2363636,674.5,491.2363636
"Lai King Hill Road,  Opposite Yin Lai Court Shopping Centre",1616.3571428999999,806.92867129,1358.5,795.2363636
"Lai King Hill Road,  Outside Lai King Community Hall",922.8571429,419.32867129,874.0,407.6363636
"Lai King Hill Road,  Opposite Winifred Mary Cheung Morninghope School",1150.8571428999999,533.32867129,1016.5,521.6363636
"Princess Magaret Hospital Specialist Out-patient Clinic,  Near Car Park",190.0,103.6363636,190.0,103.6363636
"Lai King Hill Road,  Opposite Lai King Community Hall",190.0,103.6363636,190.0,103.6363636
"Lai King Hill Road,  Outside Yat King House,  Lai King Estate",1188.8571428999999,616.92867129,931.0,605.2363636
"Lai King Hill Road,  Outside Lingnan Dr. Chung Wing Kwong Memorial Secondary School",190.0,103.6363636,190.0,103.6363636
"Hing Fong Road,  Outside Osman Ramju Sadick Memorial Games Hall",1168.5,597.6363636,1102.0,597.6363636
"Wo Tong Tsui Street,  Opposite Mai Chung Mansion",304.0,198.63636359999998,304.0,198.63636359999998
"Wo Tong Tsui Street,  opposite Favor Industrial Centre",266.0,179.63636359999998,266.0,179.63636359999998
"Tai Wo Hau Estate,  opposite Fu On House",674.5,375.96969693,674.5,375.96969693
