"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_single_adult","fare_single_child","fare_single_elderly"
"10","240",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"10","250",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"10","260",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"10","265",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"10","920",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","40",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"10","50",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"10","60",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","70",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","75",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","80",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","170",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","180",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","190",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","200",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","212",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","220",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","230",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","270",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","275",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","280",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","295",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","300",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","310",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","320",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","330",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"10","90",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"10","100",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"10","110",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"10","120",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"10","130",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"10","140",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"10","150",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"10","160",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"10","340",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"10","350",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"10","360",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"10","370",6.20,3.10,2.00,2.00,3.10,6.50,3.50,3.50
"10","380",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","390",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","400",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","425",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","430",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","435",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","445",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","448",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","450",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","455",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","460",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","490",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","500",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","468",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","480",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","510",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","520",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","530",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","540",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","550",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","560",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","570",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"10","580",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","590",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"10","600",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","1",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","10",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15","20",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","30",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","240",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","250",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","260",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","265",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","920",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","40",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","50",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","60",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","70",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","75",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","80",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","170",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","180",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","190",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","200",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"15","212",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","220",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","230",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","270",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","275",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","280",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","295",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","300",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","310",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","320",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","330",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"15","90",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","100",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","110",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"15","120",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","130",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","140",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","150",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","160",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","340",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"15","350",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"15","360",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"15","370",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"15","380",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","390",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","400",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","425",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","430",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","435",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","445",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","448",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","450",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","455",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","460",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","490",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","500",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","468",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","480",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","510",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","520",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","530",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","540",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","550",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
