IMT Distance,Robustness,Number of IMT edges,Number of edges
0,0.09688187177042183,0
50,0.25713440548566024,7726
100,0.3043507379461024,15148
150,0.33934560027889127,25812
200,0.3645581338527996,39394
250,0.3849403838951451,56192
300,0.3994804681920743,75590
350,0.4116385330715444,97256
400,0.42182030970117057,121580
500,0.4349593012387148,176038
600,0.4440321356613955,238080
700,0.4504053580349646,306400
800,0.45480723817383634,380270
900,0.45959404666588577,457872
1000,0.46305450027955514,538704
1100,0.4663914582280942,622152
1200,0.47008057309748924,709082
1300,0.47246057535020397,798272
1400,0.4750298040373703,888860
1500,0.4780110734207281,982784
1600,0.47961119845496314,1077296
